acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,speechiness,tempo,time_signature,track_number,valence
0.00168,7JggdVIipgSShK1uk7N1hP,"1wNYYqNhLKSdj2cIqp2B9V,0dCl6yIctSSX7XqDTG0vED,4O71i7ke5iIBX6RNSFoZbS",0.68,1,234653,0.813,1VfhO1GZsZmVrVWRP84iQK,5.74e-05,1,0.081,-5.672,1,Me Me Me - Trentemøller Remix,dataset,25,0.0379,120.03,4,9,0.915
0.366,5NKTuBLCYhN0OwqFiGdXd1,1aSxMhuvixZ8h9dK9jIDwL,0.481,1,269067,0.392,5YSI1311X8t31PBjkBG4CZ,0.0452,1,0.124,-11.381,1,Wuthering Heights,dataset,69,0.0312,124.572,4,6,0.52
0.439,0T5C5nZUcMAqpOSLucDC6n,0bwaKyQeHXTyMkDouMZ9zs,0.378,1,192453,0.425,30XCZtcaWi6PkSZ66PQmAG,0.00824,0,0.256,-12.747,1,Gambale Twist,dataset,13,0.0783,167.149,4,1,0.443
0.86,0ab5JnF8emGteBhcsLQPtz,"1FcH3hHeVuLnWNZnwQq29l,2rHPaRrsgoK3ixbLV8dhs2,6iCQomJORy2bN4R47rVTvP,24bcqIDy1kxGa9uTlSGe5x,2wpMuVMZaaCcJF1ulE60pQ,6Cvy4erQUG2CcOR3FSDN8U",0.448,1,143107,0.407,3idW7jNh4PIftLfF9SyNhw,0.728,0,0.108,-12.328,1,Uf,dataset,1,0.0352,80.056,4,6,0.0392
0.954,0ab5JnF8emGteBhcsLQPtz,"1FcH3hHeVuLnWNZnwQq29l,2A96gxja8kD56yL7PsDoEE,3TOsLT7R03JCAhMNADcfW0",0.435,1,142693,0.415,3r6csKVvkylpvLiIWdRZul,0.838,1,0.115,-12.636,0,M'ag o m'ad as,dataset,0,0.0392,127.456,5,13,0.232
0.798,0bMqrWz11OVKWS9uQgJmEi,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0.701,1,252373,0.713,6CsZ8xGaV6mA1YnNNy37ID,0.067,4,0.107,-5.504,0,Candu bolis,dataset,1,0.0305,112.029,4,8,0.607
0.0338,0bMqrWz11OVKWS9uQgJmEi,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0.729,1,190040,0.863,6pIufrldS0ObdSuOKhZv6V,0.0251,7,0.0803,-4.935,1,Mala manera,dataset,1,0.0318,123.967,4,3,0.584
0.0932,0bMqrWz11OVKWS9uQgJmEi,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0.712,1,199773,0.908,4Q0PgkvAVtgoeVXYlBW5bD,3.59e-05,0,0.665,-5.85,1,Chi no dd'acabu,dataset,1,0.205,170.032,4,2,0.96
0.578,4FAAuILSwtbCxMntAyVCRR,0bwaKyQeHXTyMkDouMZ9zs,0.675,1,245547,0.355,6p8NN93z7Z9AoLXUoGpdGP,4.16e-05,2,0.176,-15.406,1,Wisky Birra e Johnny Cola,dataset,6,0.0488,123.994,4,1,0.531
0.426,4FAAuILSwtbCxMntAyVCRR,0bwaKyQeHXTyMkDouMZ9zs,0.672,1,121520,0.441,5ArWMqAtHn7BX1dszMzU82,0.000511,4,0.321,-9.64,1,Non ho dormito mai,dataset,8,0.0328,129.591,4,2,0.963
0.0115,4RGZJf1z7kxlOz2mBFw3so,"6pq5tGhCB4WDJ9X3n8HseQ,1FcH3hHeVuLnWNZnwQq29l",0.695,1,203807,0.456,6ym1ZtOc4m6EgZfGEdVaTo,0.841,1,0.116,-13.07,1,Laikas meilei - Arrogalla S'ora De Stimai Dub,dataset,3,0.0548,136.553,4,10,0.493
0.583,0ab5JnF8emGteBhcsLQPtz,"1FcH3hHeVuLnWNZnwQq29l,2PQRrwPqtSuskENZ4srYu9,2rHPaRrsgoK3ixbLV8dhs2,2wpMuVMZaaCcJF1ulE60pQ,27CI4ZYttp4mtjQpFpGxBD",0.654,1,179773,0.298,3vhn4KEnqJdVAzsT6huYXW,0.00757,11,0.0897,-15.448,0,Is,dataset,2,0.171,161.658,3,12,0.268
