danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,album,disc_number,name,popularity,preview_url,track_number,uri,playlist_id,playlist,artist,artists_id,album_id
0.585,0.19,11,-17.692,0,0.754,0.987,0.00267,0.18,0.57,86.554,0nABfl5JidU7Zaudwt4GNK,456420,4,"Cuentos Infantiles para Viajar, Dormir, Fiestas, Comuniones y Más",1,Los 3 Cerditos,25,https://p.scdn.co/mp3-preview/61d7a6e9fa44b18f09254f639f6f74e23d85f9ff?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:0nABfl5JidU7Zaudwt4GNK,5T54YmcS3PsSghWrqivfms,Speechiness,Los Cuenta Cuentos,54acaecjwyGb2wLtOoh65u,3BFGkmQ3trseGxUm8Oin8A
0.617,0.579,9,-9.413,1,0.941,0.891,0.0,0.725,0.453,101.294,4s7HS5VOBhblDKSPift1q7,236434,4,Live from Australia,1,Crack A Fat And Get Fucked,0,,2,spotify:track:4s7HS5VOBhblDKSPift1q7,5T54YmcS3PsSghWrqivfms,Speechiness,Eddie Ifft,41wUNDeVoxTyqNpUlslu7t,6RB6MWoJDr5q54AtCXJxdC
0.621,0.389,5,-16.501,0,0.935,0.968,0.0,0.67,0.454,134.977,1ou8JKQAmaJzPSxWm4NweT,1332481,3,X Minus One - 50 Science Fiction Golden Age Vintage Radio Episodes,1,The Seventh Victim,10,https://p.scdn.co/mp3-preview/1c9bfb4d9ed569476b3ecf10c42b3c76a4c371be?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:1ou8JKQAmaJzPSxWm4NweT,5T54YmcS3PsSghWrqivfms,Speechiness,X Minus One,5n4zL9K6NV9tMH4aafGflQ,1qLqI0dV3pBrVJxkM0OZiK
0.725,0.436,2,-12.894,1,0.924,0.557,0.0,0.558,0.413,122.435,26Ko7pSCJ1lV5NOtIhsocy,219109,5,Literaturklassiker - Die bekanntesten Gedichte,1,Der Zauberlehrling,23,https://p.scdn.co/mp3-preview/e4227ff916b72c6b61ec356d9120da0701140bcc?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:26Ko7pSCJ1lV5NOtIhsocy,5T54YmcS3PsSghWrqivfms,Speechiness,Johann Wolfgang von Goethe,7wQj9SdON7gAR6M2VjpBrw,6wg0gMtIJYbtg10vRMl96U
0.682,0.00668,7,-17.174,0,0.86,0.0425,1.13e-05,0.0873,0.397,129.195,3RwKKuWe2H29pFI77s9jMV,244987,3,Learn in Your Car: Italian Level 1,1,Lesson 1: Basics,23,https://p.scdn.co/mp3-preview/42cf6ac22c025f588b26eee861a89ea9f5ba14b7?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:3RwKKuWe2H29pFI77s9jMV,5T54YmcS3PsSghWrqivfms,Speechiness,Henry N. Raymond,4TmBZPk7UCEt5S21NFwule,5ZWHCKsePFPX7O4Vd4EW4h
0.311,0.55,9,-25.458,0,0.834,0.07,0.0371,0.117,0.0668,83.528,7cKutCuFbmmRz8HZNNo7LB,525959,4,Gateways to Serenity,1,The Rain Temple,17,https://p.scdn.co/mp3-preview/2c91723882b6b81d7e5e06638a85f1f178a2a91c?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:7cKutCuFbmmRz8HZNNo7LB,5T54YmcS3PsSghWrqivfms,Speechiness,The Honest Guys,6n47s4smWR5T6mZnvHWv7V,2fp5bbriXXq4tfS18BeRls
0.624,0.19,0,-19.578,1,0.946,0.843,0.0,0.221,0.432,81.534,4aRZPXNinhJ1mHU6H8HDmU,4336946,3,Mesék a 77 magyar népmeséből,1,"Fanyűvő, Vasgyúró, Hegyhengergető",7,https://p.scdn.co/mp3-preview/a00aaa8d6df0e5e874d7ed6141a16fa4476ee3d6?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:4aRZPXNinhJ1mHU6H8HDmU,5T54YmcS3PsSghWrqivfms,Speechiness,Sándor Lukács,6LLYya8pzsAx21U3U8yhqN,5hCfwUN6TzYH1HVavXjvlH
0.6,0.768,7,-10.236,0,0.946,0.929,0.0,0.435,0.43,86.536,0HBYptBUJX7NBm82ogaw1y,306432,3,Dr. Thomas,1,Beast Mode,41,https://p.scdn.co/mp3-preview/059fbfbf5230bb7a8f5aa3fac9f641b5e9234826?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:0HBYptBUJX7NBm82ogaw1y,5T54YmcS3PsSghWrqivfms,Speechiness,Eric Thomas,5URFLvsIMbJIqmQL36FmvW,6bh8t9lJ1z1KIIixnpCrUR
0.676,0.511,0,-8.51,1,0.905,0.217,0.0,0.301,0.664,137.069,6sWrNxYxpZK9KeSjOpKVMA,347038,4,Les contes de printemps de Pomme d'Api (3 à 7 ans),1,Au pays des mille et une farces,25,https://p.scdn.co/mp3-preview/755101c8699fe76549e03e31a1c3ba2c6fdd03ba?cid=774b29d4f13844c495f206cafdad9c86,8,spotify:track:6sWrNxYxpZK9KeSjOpKVMA,5T54YmcS3PsSghWrqivfms,Speechiness,Gérard Rouzier,7ugNOElD7RRXFWJZgtdCnv AND 7KuskkQRSuQXvLrJMNzgSg,2AmaL9WYQgEH9wOPkyzM6p
0.629,0.473,0,-14.234,1,0.948,0.771,0.0,0.225,0.525,109.797,233aKBLrqsVmHNOiRhCZB1,81678,4,Jim Knopf und Lukas der Lokomotivführer,1,Jim Knopf und Lukas der Lokomotivführer - Teil 01,0,,1,spotify:track:233aKBLrqsVmHNOiRhCZB1,5T54YmcS3PsSghWrqivfms,Speechiness,Michael Ende,1VORulhv2aMemo1kSvxdVX,3Lb4wtsoxbKjQIvAKheoE5
