acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.217,Les contes de printemps de Pomme d'Api (3 à 7 ans),2AmaL9WYQgEH9wOPkyzM6p,Gérard Rouzier,7ugNOElD7RRXFWJZgtdCnv AND 7KuskkQRSuQXvLrJMNzgSg,0.676,1,347038,0.511,6sWrNxYxpZK9KeSjOpKVMA,0.0,0,0.301,-8.51,1,Au pays des mille et une farces,Speechiness,21,https://p.scdn.co/mp3-preview/755101c8699fe76549e03e31a1c3ba2c6fdd03ba?cid=774b29d4f13844c495f206cafdad9c86,0.905,137.069,4,8,spotify:track:6sWrNxYxpZK9KeSjOpKVMA,0.664
0.771,Jim Knopf und Lukas der Lokomotivführer,3Lb4wtsoxbKjQIvAKheoE5,Michael Ende,1VORulhv2aMemo1kSvxdVX,0.629,1,81678,0.473,233aKBLrqsVmHNOiRhCZB1,0.0,0,0.225,-14.234,1,Jim Knopf und Lukas der Lokomotivführer - Teil 01,Speechiness,38,https://p.scdn.co/mp3-preview/16c4fb57c60f8b7949b1f80d4aa401d7c79d8968?cid=774b29d4f13844c495f206cafdad9c86,0.948,109.797,4,1,spotify:track:233aKBLrqsVmHNOiRhCZB1,0.525
0.181,Deep Sleep Hypnosis With Binaural Delta Waves,057gaeRdN7dLTknh3IN1Yw,Anna Thompson,5JoRvqviRCB3B6i4b1vBCl,0.51,1,241500,0.31,11rBpnABsiVmc3YD66izVN,0.0,1,0.362,-19.251,1,Putting The Worry Aside,Speechiness,27,https://p.scdn.co/mp3-preview/b68887d3f3273a1fe6d52623545ef7829f856694?cid=774b29d4f13844c495f206cafdad9c86,0.682,105.178,3,4,spotify:track:11rBpnABsiVmc3YD66izVN,0.249
0.913,Gestern war heute morgen,0jKGSCxixFJuoQyS0JbmeN,Günter Grünwald,3ftd63vWRug23pnrCz53g6,0.633,1,333573,0.669,1OiANkZGP9pHyEbwlgNoq2,0.0,4,0.846,-8.386,0,Autofahren,Speechiness,28,https://p.scdn.co/mp3-preview/fe645502a6b2be85622c3a3219478d8717fb5744?cid=774b29d4f13844c495f206cafdad9c86,0.942,83.569,4,1,spotify:track:1OiANkZGP9pHyEbwlgNoq2,0.663
0.988,Maori Songs Of New Zealand II,4eF384aaOPZzPf9ud7lw3E,Aotearoa Maori Chorale,5N1bdjsaYbQqvdCznZClnh,0.53,1,62693,0.487,1WT7wA4bfZ0nMuymSAd5RB,0.00134,2,0.21,-17.814,1,Ka Mate Ka Mate,Speechiness,25,https://p.scdn.co/mp3-preview/7c499b27f796cdaaaffe275113101e011e928df7?cid=774b29d4f13844c495f206cafdad9c86,0.928,205.146,3,8,spotify:track:1WT7wA4bfZ0nMuymSAd5RB,0.637
0.424,Folge 9: Eine ebenbürtige Gegnerin / Ladybug in Nöten (Das Original-Hörspiel zur TV-Serie),3nsTeJY8pVP0eDmMZVv7q4,Miraculous,0g12RW7N9VQmkjkcQreys3,0.658,1,111867,0.607,6xBWhPv8B16M3Lfa0G3xAe,0.0,1,0.269,-8.486,0,Kapitel 1: Eine ebenbürtige Gegnerin,Speechiness,47,https://p.scdn.co/mp3-preview/a7804590d6e1f57a1dc4a439f5f7043d9c79ab01?cid=774b29d4f13844c495f206cafdad9c86,0.76,84.664,4,1,spotify:track:6xBWhPv8B16M3Lfa0G3xAe,0.773
0.818,Lindemans låda cd 1,1fcwWfnwSzLaQECjyWsvYT,Hasse Alfredson,7bQVHmJKaxiXYkZ2miMrwb AND 3camrFRWQjBFgfzZ6W62Ob,0.647,1,251920,0.667,2uODswvtqDImhmVvoyDBIH,0.0,4,0.618,-2.755,1,Fotbollstränare Bob Lindeman,Speechiness,18,https://p.scdn.co/mp3-preview/61cd16e13452c2a7b60e8f441d4bbb1d0e83e07b?cid=774b29d4f13844c495f206cafdad9c86,0.855,90.496,4,4,spotify:track:2uODswvtqDImhmVvoyDBIH,0.541
0.191,Libro de audio de inglés-español para principiantes,05XOxYsMvNnhoCxvszyMDo,Global Publishers Canada Inc.,26F0RxUxwCswnFxX3gecaD,0.607,2,278336,0.125,4nZwxdMucDnoh3blRUtiFt,0.0,5,0.0987,-11.475,1,Verbos/acciones en Inglés,Speechiness,22,https://p.scdn.co/mp3-preview/31c7e4652a08ea76ef7e8978f3f3e456ab66aa39?cid=774b29d4f13844c495f206cafdad9c86,0.909,170.001,3,8,spotify:track:4nZwxdMucDnoh3blRUtiFt,0.171
0.821,Knee To The Groin,4Hw7gSMzSX4B2p8ePKiQGj,Pablo Francisco,3Ac7ymYqL8NMoyhuU6vrNJ,0.469,1,220267,0.682,4nvgOOsVAilfa3xgku5fSE,0.0,6,0.807,-17.088,1,Movie Previews,Speechiness,42,https://p.scdn.co/mp3-preview/889d1c926dfedc3bb31898864edc5eeb2fdcf778?cid=774b29d4f13844c495f206cafdad9c86,0.925,78.405,1,15,spotify:track:4nvgOOsVAilfa3xgku5fSE,0.285
0.18,"Glück ist, wenn man trotzdem liebt (Ungekürzt)",3bjjsVtAoA4qCdBRNW18V2,Petra Hülsmann,1ZextgNkYVGPDljojdLXcY AND 0fcLOreQe6p3tv94knKYjU,0.608,1,129844,0.282,1pXzHcdJf3ZyTgvXb8kRAO,0.0,7,0.271,-16.734,1,"Glück ist, wenn man trotzdem liebt, Kapitel 1",Speechiness,28,https://p.scdn.co/mp3-preview/08f7044ef0d2910001ae0c38b37e1380f2d5f4ea?cid=774b29d4f13844c495f206cafdad9c86,0.942,92.908,3,1,spotify:track:1pXzHcdJf3ZyTgvXb8kRAO,0.0854
0.981,160 BPM Non-Stop Running Cadence Military Workout,24dUB3emF6ERaBLj0zAOnh,U.S. Drill Sergeant Field Recordings,3w67vFjSUU0hZqKtCgZXkP,0.728,1,126938,0.646,2T0FAQVhqqVpaevqn1IOrp,0.0,8,0.689,-11.386,0,1234 United States Marine Corps (160 BPM),Speechiness,23,https://p.scdn.co/mp3-preview/bb05068a3358f054cd8839de6ea13b2fe3bc11b7?cid=774b29d4f13844c495f206cafdad9c86,0.821,160.169,4,23,spotify:track:2T0FAQVhqqVpaevqn1IOrp,0.693
0.56,Pohádky O Skřítku Racochejlovi,1pqjSCQCTWi7h5MUo076GY,Jiřina Bohdalová,1ndpQw8Kn3ZO4WuU1wu23Y,0.616,1,641160,0.118,6Dopq1sUddYgcnJLC0pqZq,0.0,9,0.0598,-22.115,0,Jak Racochejl Zaplácl Hřiba,Speechiness,20,https://p.scdn.co/mp3-preview/f30cb34e36fe2a957d474f1583cbc89e5b9e977e?cid=774b29d4f13844c495f206cafdad9c86,0.949,64.891,4,3,spotify:track:6Dopq1sUddYgcnJLC0pqZq,0.373
0.939,The Strangest Secret: How To Achieve Greater Success & Happiness,0bg1C7BwYZq5vXFpJOhZFM,Earl Nightingale,4gyPmRdEnJ6GVibKuQekoF,0.693,1,306227,0.301,5tTvGc18CCgyDrye65PAGP,0.0,1,0.123,-11.145,1,We Become What We Think About,Speechiness,31,https://p.scdn.co/mp3-preview/4abc3356b7ea5055928e3154c8d3fa943cc53aaf?cid=774b29d4f13844c495f206cafdad9c86,0.949,90.606,4,2,spotify:track:5tTvGc18CCgyDrye65PAGP,0.596
0.789,Touché,4twDptGHkg7a9CHqd6E1DC,Ryan Stout,3rYH0eT8EkSbxGNkcaJEzW,0.511,1,197587,0.871,3rLl99SGyzRtFKYzbUVB7d,0.0,11,0.689,-8.299,1,Deals,Speechiness,28,https://p.scdn.co/mp3-preview/2e158849ee9079e87231c5eb8d9920e4139e9a1e?cid=774b29d4f13844c495f206cafdad9c86,0.924,103.325,3,3,spotify:track:3rLl99SGyzRtFKYzbUVB7d,0.344
0.849,The Presidential Years,672C3Sr2j4esWpmFYyP43C,John F. Kennedy,76NiAsCnFL6eHb04zphoH6,0.704,1,237387,0.36,1bZ6l7iUCGqnGKgBKQkAna,0.0,6,0.727,-16.6,1,Space Exploration Speech At Rice University,Speechiness,13,https://p.scdn.co/mp3-preview/95564e84378031f20e315b41b4254729c4638aa8?cid=774b29d4f13844c495f206cafdad9c86,0.901,110.244,5,7,spotify:track:1bZ6l7iUCGqnGKgBKQkAna,0.542
0.968,O Peru da Festa (Ao Vivo),2uKgWeeRHMZo9fahMWZwRG,Costinha,5h49asgiKDU05wAnUGLZhk,0.654,1,292326,0.417,7dpZdOauEbKTGgO9bGqNqu,2e-05,6,0.874,-20.251,1,Morreu uma Bichinha (Ao Vivo),Speechiness,20,https://p.scdn.co/mp3-preview/6c2073301543b24c81bc3fb5546fcf19962eaf19?cid=774b29d4f13844c495f206cafdad9c86,0.926,136.059,5,2,spotify:track:7dpZdOauEbKTGgO9bGqNqu,0.565
0.942,Terrorizing Telemarketers 4,792rLP82cmyUrI0WDFljBO,Jim Florentine,0dCcYHqcOo9RUTDP3U4zSu,0.724,1,223867,0.765,35oG2mXpx36bJga5h7NJbE,0.0,10,0.687,-11.695,0,"No, No",Speechiness,13,https://p.scdn.co/mp3-preview/d7f5faf77988405ffbba854f42d5cdf6f1b76797?cid=774b29d4f13844c495f206cafdad9c86,0.76,113.689,4,1,spotify:track:35oG2mXpx36bJga5h7NJbE,0.551
0.784,五街道雲助7「臆病源兵衛」「芝浜」-「朝日名人会」ライヴシリーズ78,6WeTojz22WQKT4zliE2Dms,Kumosuke Gokaido,14RlHgE4FkzxXG9ijJudnc,0.655,1,1346067,0.369,3gukwoH9qNORGwcIE3rRYV,0.0,7,0.0741,-19.232,0,臆病源兵衛,Speechiness,5,https://p.scdn.co/mp3-preview/aef11a13b1d7a8c0126251cb773d6938d0f3386e?cid=774b29d4f13844c495f206cafdad9c86,0.947,83.843,3,1,spotify:track:3gukwoH9qNORGwcIE3rRYV,0.302
0.4,Die Säulen der Erde (Ungekürzt),2oM8cIQReXR3qsYpXlflyS,Ken Follett,0I5CMdNszqP3qJTmhGxlsA AND 0RD9TMN3xp2N143QRiLUjx,0.684,1,444278,0.311,1JqJXxM3rcWIlLPilL8Y4J,0.0,0,0.0883,-18.303,1,"Die Säulen der Erde, Kapitel 1",Speechiness,36,https://p.scdn.co/mp3-preview/a0aec1e68eb5f632f1aa43bb9a0a8124f250d23e?cid=774b29d4f13844c495f206cafdad9c86,0.935,113.85,4,1,spotify:track:1JqJXxM3rcWIlLPilL8Y4J,0.567
0.667,I Saw Myself,7puSA103qjj9hCVBum6wGm,Rhonda Welsh,2VmMNTy51THbMXLby7LZbJ,0.689,1,303653,0.352,4JEjvNlC9aOwHSytgtAR57,0.0,1,0.372,-13.373,1,Just a Little Girl,Speechiness,0,https://p.scdn.co/mp3-preview/774e977ebfb666254e2f8ab1ed1112a62653ca0b?cid=774b29d4f13844c495f206cafdad9c86,0.944,85.469,4,6,spotify:track:4JEjvNlC9aOwHSytgtAR57,0.545
