album_id,artists_id,disc_number,id,name,playlist,preview_url,track_number,uri
56gSBIw545eJ3xszN9x6lT,47LEGQCc9FShxKmbod8u7e,1,47RpAT4yHoVQTC317zACch,I Know How to Run,The Sound of Everything,https://p.scdn.co/mp3-preview/54f2e416033e1d7f3d4ab3b68e416029b69e8ec3?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:47RpAT4yHoVQTC317zACch
6csTNqy5qkYCzPFJyHDA67,4uIDwHKFKJQiY8aLttzFUh,1,245q31NvaFNkMw8QRVy23b,This Little Girl,The Sound of Everything,https://p.scdn.co/mp3-preview/6fd8af3bb8fc51ac0d2f6a81379bcc66ae1245bd?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:245q31NvaFNkMw8QRVy23b
6XcQPLDtG3vhIPpcL2Ypjr,1bp0P0e8PYAMpxYNV11xxl,1,03cV4d01HPX3LK4QyntaCL,Queen City Eve,The Sound of Everything,https://p.scdn.co/mp3-preview/4affa3e18874f498d7e0328c3eb6b8e4ee8dd7f7?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:03cV4d01HPX3LK4QyntaCL
5pRG4SxFRIp5QZPczn1Ngx,6NqIUh0cpaygBWUUAjBaog,1,7vjXPjtvm9IjoPKGVyfg10,Mal Acostumada - Ao Vivo,The Sound of Everything,https://p.scdn.co/mp3-preview/a5f684213f79e35c702504a303e82711c2fe4020?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:7vjXPjtvm9IjoPKGVyfg10
29laMqyXW8THPpNK3tTsNj,2nGoKcLdXktxEXvMdTDsIT,1,2iMxlpiSajGwrkSqWn7RIh,Dodo,The Sound of Everything,https://p.scdn.co/mp3-preview/4198d88abaaf687047eaf012a6ca3e6c97c63a2f?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:2iMxlpiSajGwrkSqWn7RIh
2jZpHmJ2oc3Jxv8ZCNy6Ll,2qyTHIe77F4K5xvFPAxttY,1,1WZOaZJ5biWtiaeE1I0qhT,Soul,The Sound of Everything,https://p.scdn.co/mp3-preview/e5338573bb6a7ccd8678431a841d1deaec42249c?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:1WZOaZJ5biWtiaeE1I0qhT
0m7u5AYg4g0I7D8kk5ugUk,7cfhZmKaLWzNLwHDxzugUH,1,1hCU3B8XtEsHXq1MACIsgF,One Night In October,The Sound of Everything,https://p.scdn.co/mp3-preview/ec470852bc1ce3ed07989e3a73d60268e02cc7ca?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:1hCU3B8XtEsHXq1MACIsgF
7DQe126mPjFqF4KoeZEH7y,3O5Pcxr21PC5RMi3wU1Dkm,1,4u4TaciNIl4RgmV4Wd8vCI,El Chicle,The Sound of Everything,https://p.scdn.co/mp3-preview/339439e5d4fe5aac99f2ce5132a59be6248ce1e9?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:4u4TaciNIl4RgmV4Wd8vCI
2OMjTiJEmO6JUUeau5Y8mN,6ok813AZNboZFozd0HEahX,1,08fiHZfM6wgtmWdZtaiV4L,一个人挺好 - DJ版,The Sound of Everything,https://p.scdn.co/mp3-preview/4d7cf5b6b5ea43e6593f83897ee768e002cf7e2b?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:08fiHZfM6wgtmWdZtaiV4L
77zg7gTaUceD6BEe8aBxGG,0dtZP5P4gWqhBmaT3cR6EE,1,6rygadcybV5BH4wxQdKr77,He Xin Nian-Ying Chun Hua-Wan Nian Hong-Gong Xi Gng Xi-Da Di Hui Chun,The Sound of Everything,https://p.scdn.co/mp3-preview/4549ba09dfd2af9229fb737c1f45a98d684c85d8?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6rygadcybV5BH4wxQdKr77
2bWi3TBI08z27FRiPD5h5D,0NdaBO1wHxvD2dKjPJn6To,1,6UHQQMXlhvmDppaCv4FCXW,Coming Down To Beijing,The Sound of Everything,https://p.scdn.co/mp3-preview/cb7e824b0e487255a973d60047c30357538e49cf?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6UHQQMXlhvmDppaCv4FCXW
2TnjTteCZ7kI4bygfmIY1V,4J16Nk4HEWkQGlNv2BeeFf,1,5xFlgNapf57SeMDLFKlSWP,Ya bent ennas,The Sound of Everything,https://p.scdn.co/mp3-preview/1ac9155630e12b8f1232596b04c522b58ca62360?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:5xFlgNapf57SeMDLFKlSWP
02j7mRx2eGUW1DFg4gEHLK,5LxTQtpFwvokioLWNkrDQr,1,2bBt2JzcSSQghzESQ0HXcG,Eu tenho dois amores,The Sound of Everything,https://p.scdn.co/mp3-preview/91cdfe48b6c5bb0fcf0f53be13c7eee245d35c56?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:2bBt2JzcSSQghzESQ0HXcG
48zxuM36lQcoItT6XkOEs2,0YCqg8X5gx0MremW64Ud1h,1,4GpN14TnR5kMxwh25bAqXV,Что такое осень,The Sound of Everything,https://p.scdn.co/mp3-preview/ee532995d7c45895b8dfefcd3275083515cf8098?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:4GpN14TnR5kMxwh25bAqXV
7yLrZuRv9mQbbkBBOdUrvK,0vr6IcFPFgjLKLUNPDlWmS,1,75jSpwHDakoTAR9oZwU2mI,Sonnendeck - Schallplattenspieler-Fassung [Ekimas & Proppe Remix],The Sound of Everything,https://p.scdn.co/mp3-preview/5c3a7cb06d563a6a8af50e0d9ac4ed9aa69aa830?cid=774b29d4f13844c495f206cafdad9c86,12,spotify:track:75jSpwHDakoTAR9oZwU2mI
4gNmyfqYP4Fy72OYAnbM6D,2dMIA9Z9kAwjqHptVnccGX,1,5KhsR58yXGWcLkAfCTzLZE,Vida Rencorosa,The Sound of Everything,https://p.scdn.co/mp3-preview/db574d0a14c488d112b4d7c8163cc7a2ebf88dae?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:5KhsR58yXGWcLkAfCTzLZE
1GsntAdgmlPTwI5vRcM0fU,"4RVinIIKSvO4mc0DGj8FW1,4dQxvm7YD9qOd3SdToppT8",1,0Yc6JRXXgNzj6zOtQEv7f3,Descend un peu,The Sound of Everything,https://p.scdn.co/mp3-preview/cf1f39d6508b751e1e30a9408eaddbfc02fb33e6?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:0Yc6JRXXgNzj6zOtQEv7f3
0mjhcKusXFAPYr5IdXuUmz,"4bXHrRcSltf4w7u2g406TB,2ws8pkPraOgD2gzMM6hUsh",1,38N6Wx8fKCPb6cBPTMPTgu,Drop Down,The Sound of Everything,https://p.scdn.co/mp3-preview/0b8fa811eae8ff8f10b2c9348df34edf81d9914c?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:38N6Wx8fKCPb6cBPTMPTgu
5ozRgtGyTdzlcAeYM0BqHj,6ACxbHWRRiS2afnUFm5wvL,1,2e7BDwl7JcpFMasScDFUmj,I Wanted It All,The Sound of Everything,https://p.scdn.co/mp3-preview/d8c1e1348716767e1750f95ff8f5e64824220150?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:2e7BDwl7JcpFMasScDFUmj
6to03Xad5VEijMfsNaFpGL,0Xv1buguht6ttG0OECVATF,1,7gBFqCbisYGY03Kj21S9Jl,¿Porqué Te Vas?,The Sound of Everything,https://p.scdn.co/mp3-preview/524555888d53b132682fbc45e8ffc2fe48ca744c?cid=774b29d4f13844c495f206cafdad9c86,11,spotify:track:7gBFqCbisYGY03Kj21S9Jl
4O7mAOBRADlo1G9JDsXtmR,7Ij7JYPkWzIf5OOuLwD87L,1,2jBae23d8t309GMkhKrbp9,Siberia,The Sound of Everything,https://p.scdn.co/mp3-preview/1c1bcdd7e2f91f22fe881a06006ee343d0eb35d8?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:2jBae23d8t309GMkhKrbp9
6RfTg1xUVw6BpFRj4hp1B9,21AE6X9LHcLnPSsD4SaFmE,1,2L8NWcpfmMB2T8CR8KeK4T,Esse Xote Santo,The Sound of Everything,https://p.scdn.co/mp3-preview/bbbdd798b1a951acce4641b3395e9e22935bfbf6?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:2L8NWcpfmMB2T8CR8KeK4T
2LMgEQmQ2JRhNmXMvXEjCN,1SnSPHBs8l5iAvoWF0aO05,1,6bRR9tU3WUBsC4aywSgHEO,WEISSER RAUCH,The Sound of Everything,https://p.scdn.co/mp3-preview/00a7f8afc12d06197a17ac5d8d78bc683ab406b0?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:6bRR9tU3WUBsC4aywSgHEO
3MnWzAgWUEAIfV5c4kLFZ4,"1YdrZulwIjwmprgY7sH2d3,2xU1DzacdEgPLClHtH48E1",1,5igvUzAE6DYsdab7GoqjvO,Laut sein,The Sound of Everything,https://p.scdn.co/mp3-preview/8309516ee92e880b42f3ae1306a325f2ba6dea98?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:5igvUzAE6DYsdab7GoqjvO
5EJOURSvmRe5rhKkBki1Gd,"2wCh75gIAQ5Ed9UGiqLBMB,1MfMEINKi23iSLoLcLVGRy",1,2hLYDmpTpVkfW44TEMrFvH,Liebe macht blind,The Sound of Everything,https://p.scdn.co/mp3-preview/6ce242bded50909278399c9c98146787c06267bc?cid=774b29d4f13844c495f206cafdad9c86,18,spotify:track:2hLYDmpTpVkfW44TEMrFvH
0PeJ3LjVw8IilrIQYBzN9Q,"4vKZXZH0eDibGsDxMVzZDh,7hJcb9fa4alzcOq3EaNPoG",1,1exaZpUIfmgdBstO3DhAY8,Hit the Floor,The Sound of Everything,https://p.scdn.co/mp3-preview/ee6e0ecc47c3c40186068ab9c1df712dbe56f840?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:1exaZpUIfmgdBstO3DhAY8
034rIpQ6gBG6lASW3nnuNT,1Jy0lTKAQDnTklKzF0g2o7,1,0FtD1ZukwCnuTfTNuwxrQM,Make A Move,The Sound of Everything,https://p.scdn.co/mp3-preview/447b1c89048823614a7a219bf1d97448538b9a23?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:0FtD1ZukwCnuTfTNuwxrQM
6TqIUcXOiVQDKxCTLk1iYB,"7MAlFea251zaprQFjwvYaL,0gEhXRRBLH6ygd9SSboKPk",1,6AGcLDEgd0FXwHAxUaSg84,Asvaar,The Sound of Everything,https://p.scdn.co/mp3-preview/4f417c8e8a9155b62b9e468eb02649eeba8241d1?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6AGcLDEgd0FXwHAxUaSg84
7j6spCeLcUYLdJVufk2vQi,2SVw939fwuqSobLjF8u78b,1,3NpjRqBLJkNnFhb5ztAxsU,Start Wearing Purple,The Sound of Everything,https://p.scdn.co/mp3-preview/06b376bc17e3853da492a60d15209a0503276f94?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:3NpjRqBLJkNnFhb5ztAxsU
