acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
0.00034159999999999995,0.5018999999999999,0.955,0.42,11,0.011980000000000001,-9.309,1,0.0527,0.55998,4,0.651,318452,50
0.000819,0.434,0.974,0.3905,11,0.01214,-3.755,0,0.0748,0.600268,4,0.516,352090,35
0.105,0.3787,0.88,0.3625,9,0.192,-9.402,0,0.0593,0.497084,4,0.555,378840,35
0.0952,0.5523,0.961,0.4055,8,0.0054,-9.282,0,0.0602,0.500016,4,0.596,237093,24
0.0037589999999999998,0.434,0.93,0.424,11,0.0216,-5.921,0,0.0598,0.5395800000000001,4,0.617,328720,3
0.001561,0.41369999999999996,0.888,0.3495,4,0.0792,-6.836,1,0.0354,0.53154,4,0.588,212133,65
0.001323,0.5341,0.956,0.4615,0,0.033,-9.89,1,0.0479,0.55998,3,0.623,176107,1
0.0021,0.4396,0.872,0.473,7,0.024800000000000003,-9.143,1,0.087,0.69208,4,0.52,235840,48
0.05733,0.40739999999999993,0.954,0.405,4,0.0378,-4.007,0,0.0387,0.572268,4,0.58,233373,32
0.0014,0.3759,0.983,0.4575,1,0.026600000000000002,-5.333,1,0.0557,0.6120399999999999,4,0.5,503987,14
0.00011689999999999998,0.4641,0.967,0.421,9,0.121,-2.935,1,0.0579,0.53592,4,0.545,408240,14
0.001589,0.3458,0.942,0.4785,11,0.0716,-5.414,1,0.0778,0.579788,4,0.515,221395,49
1.4839999999999999e-05,0.4417,0.974,0.3665,1,0.033600000000000005,-6.532,1,0.0891,0.620052,4,0.596,373161,17
6.824999999999999e-05,0.392,0.926,0.4665,7,0.018240000000000003,-9.147,1,0.0642,0.543944,3,0.555,327021,24
