acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
0.008749999999999999,0.4641,0.444,0.4355,9,0.027200000000000002,-11.556,0,0.039,0.380592,4,0.52,226267,17
0.2135,0.42279999999999995,0.497,0.418,5,0.015600000000000001,-10.373,1,0.045,0.425892,1,0.663,265771,19
0.14489999999999997,0.42839999999999995,0.623,0.4405,1,0.023400000000000004,-11.217,0,0.0431,0.360048,4,0.567,275760,22
0.182,0.42839999999999995,0.583,0.3785,9,0.0252,-8.694,0,0.035,0.3502,4,0.69,279187,46
0.14489999999999997,0.3731,0.545,0.3985,7,0.022600000000000002,-7.681,1,0.0243,0.39205599999999996,4,0.419,270918,59
0.028629999999999996,0.4613,0.321,0.4155,0,0.0618,-14.293,1,0.0436,0.316976,4,0.581,498800,38
0.1932,0.357,0.51,0.438,8,0.0199,-13.506,0,0.0302,0.32173599999999997,4,0.559,426601,34
