album_id,artists_id,disc_number,id,name,playlist,preview_url,track_number,uri
7riT2MBpZMkWGtK7cjjrRc,4CYZRz0HWS20cTgIhD8Vy0,1,11FsUYVCcnEKIWV8rtdXIi,Ķiršu Lietus,The Sound of Everything,https://p.scdn.co/mp3-preview/67d50a83dd052b0f529726d7fa571035c27a2be3?cid=774b29d4f13844c495f206cafdad9c86,14,spotify:track:11FsUYVCcnEKIWV8rtdXIi
5GavylsuNH6w0nfggBDuKa,1bObiFZkYu7IfzxVlAVj5x,1,1z2HAz6JcwfGHKMSgKEA3D,Roller Coaster,The Sound of Everything,https://p.scdn.co/mp3-preview/f2af5a495259e19b54fc5ce8e1d66f21a8530a62?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:1z2HAz6JcwfGHKMSgKEA3D
2uoWnB7zh1s7Wuqj0zXT7e,1DFpmKLluE3dgqLgZSMFeW,1,4uQNBfrq45J6V12sirBSub,Toma Meu Coração,The Sound of Everything,https://p.scdn.co/mp3-preview/299e2e60733055cdf698c429389fdf8c1f23ef1b?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4uQNBfrq45J6V12sirBSub
664HkCpVdg2XHiGsWoc8si,"5RRpftRxDNxlmo5lSn5UCg,00Gkzhtu9yxlcHWgm1Lnsh",1,6pLxjf6FjQRyPXe99gQKGE,Lenço Enxuto,The Sound of Everything,https://p.scdn.co/mp3-preview/11c48cde39a92690b54c844b69f5b9fcbc5d56a4?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:6pLxjf6FjQRyPXe99gQKGE
38eacUHVe4O9Ovy7YxhedA,70sNEhx3ntOpapyIUpL79n,1,1rIJLWJngQGHXdoeF5EQre,Otra Luna,The Sound of Everything,https://p.scdn.co/mp3-preview/b3fbf46ed5ffd45c5b0d789d08c75294f525361c?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:1rIJLWJngQGHXdoeF5EQre
5EiJZqMH2Tm9ZD4lU6FJAR,1lJC5MbTUW5ld4yXzNB0H4,1,6yNlzzLkzb3SRQ62IacIaZ,Marjorie,The Sound of Everything,https://p.scdn.co/mp3-preview/39106bf21e76bf5a8b06958eb5fbfd54a1d505ae?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:6yNlzzLkzb3SRQ62IacIaZ
0ri4ROmt6I0FQitSmC3LL3,3wayc8vDx8ukvWV17IBZE1,1,64HOH3eAC5tNVIeIpLP62z,Don't You Know Who I Am,The Sound of Everything,https://p.scdn.co/mp3-preview/c02c977c5816298d4e691ba8e09182056be2dd57?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:64HOH3eAC5tNVIeIpLP62z
5gzjNeBbZlD3bDMKDxNCTL,3HUf0l1HSBzHw0F5UhBOpA,1,13bxvI8AveCg4FOJTCULnb,Wajah,The Sound of Everything,https://p.scdn.co/mp3-preview/a03215d59ddb690aa2ec7837f487db924d7abbf2?cid=774b29d4f13844c495f206cafdad9c86,5,spotify:track:13bxvI8AveCg4FOJTCULnb
5pq7GrjKGB4updVmlTdpyg,1ogkXKkVByq7AjEcA7ek9N,1,0eAKRqLtclLG5vDTC8NT6r,Dias de Chuva,The Sound of Everything,https://p.scdn.co/mp3-preview/31ee8efebed60c94ed5511b3a169ed17911804c5?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:0eAKRqLtclLG5vDTC8NT6r
4z4W6X6TDYoumqZC4Q5ukg,2AAMBmrNdim79LRSv1kKFn,1,6CVPtGUN0KJd2VYTKxIXR6,涙そうそう,The Sound of Everything,https://p.scdn.co/mp3-preview/14cb13bcdd39152a3fc652e10f48ceedb75f1b45?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6CVPtGUN0KJd2VYTKxIXR6
4Imutb6AFFjGa7fh9AAUK2,7aoSiqJj23B6at0hTVobbg,1,54vBDYCulMrXboGiXiABXD,陪我看日出,The Sound of Everything,https://p.scdn.co/mp3-preview/1bd051ed64b7b3a220f78b8d5bf2cd018564d38a?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:54vBDYCulMrXboGiXiABXD
7b6wAcQqRepTZdhz9KBXMX,6BoE3x5qUCLUpyCEIjOVZH,1,6gsiyA47dV100YY8dikVWA,Unang Alay,The Sound of Everything,https://p.scdn.co/mp3-preview/3a8c532d2f0ad0c8458b2b1b0ca4322d2ec4d916?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:6gsiyA47dV100YY8dikVWA
39qvG5SrtnJO2gBpl9m2mf,7l8YWhszshSlwN43NtokOO,1,0y5EJMV1PE3YPDUWMN314E,Maya,The Sound of Everything,https://p.scdn.co/mp3-preview/528f4374798721018aea655e9fd31492ed7b7526?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:0y5EJMV1PE3YPDUWMN314E
3zyaXNQFc9sZthYKKflCym,3NOy4VouufNkUdcPh7ouDv,1,7mVoVzsLgdpN2WOtyB7QYk,Nguoi Yeu Dau,The Sound of Everything,https://p.scdn.co/mp3-preview/905ad4949b0bf5844d1203d2f9697bc5927dd63b?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:7mVoVzsLgdpN2WOtyB7QYk
