acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
0.5565,0.20229999999999998,0.541,0.0675,9,0.0094,-4.056,1,0.0306,0.402416,4,0.203,299400,34
0.6678,0.0896,0.288,0.03025,3,0.023400000000000004,-12.529,0,0.0343,0.30907999999999997,4,0.124,511320,41
0.6145999999999999,0.1323,0.495,0.00129,2,0.0432,-7.966,1,0.0332,0.33634,4,0.286,270653,24
0.6517,0.12249999999999998,0.496,0.2205,2,0.1208,-12.145,1,0.177,0.30111200000000005,4,0.0388,480752,0
0.5908,0.17359999999999998,0.359,0.0,4,0.15940000000000001,-12.158,1,0.0348,0.38142000000000004,1,0.367,229068,35
0.6314,0.1288,0.349,0.0497,6,0.026600000000000002,-6.158,1,0.0302,0.36032,4,0.136,210493,13
0.6349,0.0931,0.277,0.077,2,0.01728,-11.414,1,0.0335,0.3363,3,0.27,260200,33
0.5551,0.1099,0.363,5.4e-07,9,0.0502,-7.611,0,0.0321,0.346348,4,0.193,210808,16
0.5459999999999999,0.1722,0.407,6.6e-05,2,0.0216,-12.101,0,0.0405,0.328104,3,0.224,337800,18
0.6552,0.1386,0.298,0.01285,9,0.1028,-11.81,1,0.0378,0.46528800000000003,4,0.0367,316987,11
0.6621999999999999,0.15189999999999998,0.327,0.00965,1,0.026400000000000003,-19.916,1,0.0695,0.357512,4,0.223,216873,35
0.623,0.07629999999999999,0.333,0.01405,0,0.039400000000000004,-10.142,1,0.0352,0.289072,4,0.0367,461027,26
