album_id,artists_id,disc_number,id,name,playlist,preview_url,track_number,uri
08quDHgIgzN1sbHUhHsWfI,2OT0ERzAikorOYSIrRDjzA,1,5F7gYvXfsmz6s98YOeZCvP,Inferno,The Sound of Everything,https://p.scdn.co/mp3-preview/40e76ff99a4b14a49c35aeedabddce544dcd0f25?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:5F7gYvXfsmz6s98YOeZCvP
4dlFovybbCjnDwXO0zjIvD,38SqGSrjDDkrsjicMn5vLl,1,01nx155UluDtGiSvSg2hLm,Loof Hom Met Die Tromme / Die Liefde Van Jesus,The Sound of Everything,https://p.scdn.co/mp3-preview/20da2a6d9894dc3fd06d52a5ecb3b18044349176?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:01nx155UluDtGiSvSg2hLm
7MvOXPaapEpyCUsIXA2MFJ,3Zj2B8yAi8gHoR8vpsPatZ,1,7oHcyBXv4E1Bf8IMkrKORG,Cursed,The Sound of Everything,https://p.scdn.co/mp3-preview/760b62946d3f7c5b1931a87d45d56234bc6c3a09?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:7oHcyBXv4E1Bf8IMkrKORG
3WG7osXmDwUsMt3QGNoYll,1WOhabhnnH1k6KcD81xGD1,1,7l5XWtUfIclO2xCTFvts8V,In Your Room,The Sound of Everything,https://p.scdn.co/mp3-preview/b3d8f03e1b50a0fa3bed22325213080ebe209c41?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:7l5XWtUfIclO2xCTFvts8V
3cCkz0dP5KwJUG14bxgDN3,3O0kLS5sLZ41XZRxjBKmLF,1,6KlqqFZmbUrpTz6RSC1pqF,REALIZE,The Sound of Everything,https://p.scdn.co/mp3-preview/e09a335deff289f8df733d37a59bfb74aa12f5c2?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6KlqqFZmbUrpTz6RSC1pqF
3euL5ADirJFFXvoX9OlIfA,7kZTWx6cRLc0TSRPq1XBMP,1,1OAp6qN5KmoGUQ2edICKsC,Ghost Rule,The Sound of Everything,https://p.scdn.co/mp3-preview/7277b80f046327f5d462418f85666c2f91bbb424?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:1OAp6qN5KmoGUQ2edICKsC
3mFWL3vLLnM8DKq0zwUAqd,72500XOYPw5e7OgFWuW2Gl,1,3qkTtC5viVAMf67CF9ebRV,Dance,The Sound of Everything,https://p.scdn.co/mp3-preview/ba0f3f8c710ff9e7f7bfb7eaccd080aca5705aed?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:3qkTtC5viVAMf67CF9ebRV
2oYL2TK56jyEcVC5LN3rIM,74KPeP60dRLSAAk7sFtWTC,1,4wv4mYGR4R1e3Scp3Ri1cf,The Donkey-Headed Adversary Of Humanity Opens The Discussion,The Sound of Everything,https://p.scdn.co/mp3-preview/c6a6400b67d1948d6bdc74a100c07155a30b5d35?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4wv4mYGR4R1e3Scp3Ri1cf
2mM4mq5GPm2cU124Vymumk,1E1u1P7Fse6SKnETGdo6XK,1,2UJhmrBVSdTHgQ5mflZ5jB,Sunshine,The Sound of Everything,https://p.scdn.co/mp3-preview/c498c23fa8829bffaf243e880d2c1cfb42ef1973?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:2UJhmrBVSdTHgQ5mflZ5jB
009jkEoxAN1ZV5RF3GMSkc,0TqNtgcRhRduvY1cc9MKFm,1,7uduBACSu95yNa7wjd6uYI,Toulouse,The Sound of Everything,https://p.scdn.co/mp3-preview/cf86e1576c5521c9ef5f09f5bcdeea6bd3ba6187?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:7uduBACSu95yNa7wjd6uYI
