acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
0.24779999999999996,0.2387,0.714,0.0,2,0.062,-7.998,0,0.0404,0.590416,4,0.412,178144,46
0.28909999999999997,0.413,0.689,0.0,2,0.01712,-7.277,1,0.0306,0.623636,4,0.61,230747,40
0.3276,0.3388,0.675,0.00174,7,0.0208,-6.784,1,0.0378,0.7184320000000001,4,0.491,312099,31
0.322,0.357,0.537,9.25e-05,2,0.0206,-7.772,1,0.0304,0.608912,4,0.512,218640,2
0.3192,0.3528,0.562,0.0,5,0.0228,-5.551,1,0.0299,0.6952240000000001,4,0.578,190627,39
0.33039999999999997,0.27299999999999996,0.585,2.035e-06,6,0.016520000000000003,-6.535,1,0.0364,0.518552,4,0.509,230621,21
0.2954,0.3353,0.492,1.16e-05,11,0.034999999999999996,-9.672,1,0.0518,0.614568,4,0.493,467882,36
0.4235,0.3934,0.637,5.2e-05,0,0.0212,-6.743,0,0.0312,0.534372,4,0.609,273547,26
0.21419999999999997,0.238,0.566,0.139,7,0.024,-15.999,1,0.0404,0.5575399999999999,4,0.502,293971,42
0.189,0.38430000000000003,0.64,0.0,8,0.019960000000000002,-7.531,1,0.0337,0.648008,4,0.571,219040,61
0.1918,0.42069999999999996,0.618,0.0,0,0.0238,-6.465,1,0.036,0.534796,4,0.425,255496,42
0.3731,0.26389999999999997,0.679,0.0,9,0.1472,-7.411,0,0.0429,0.627664,4,0.472,500297,36
0.2555,0.3752,0.661,0.082,5,0.0218,-9.274,0,0.0595,0.736172,4,0.542,268627,28
0.23099999999999998,0.38780000000000003,0.566,0.005,11,0.018860000000000002,-8.05,0,0.0332,0.67152,4,0.418,264733,40
0.3374,0.2541,0.716,2.53e-06,11,0.0037800000000000004,-6.823,0,0.111,0.76386,4,0.581,228853,55
0.29819999999999997,0.43539999999999995,0.439,0.0,0,0.01628,-10.611,0,0.0636,0.6855399999999999,4,0.544,169200,32
0.3213,0.4347,0.62,0.081,0,0.015420000000000001,-4.721,1,0.0293,0.7040639999999999,4,0.515,301960,61
0.3045,0.3262,0.67,0.0,0,0.025,-7.413,1,0.0763,0.6668999999999999,4,0.595,234000,10
0.2359,0.48649999999999993,0.636,0.076,7,0.0308,-7.714,1,0.0354,0.560156,4,0.461,295373,33
0.2191,0.3829,0.538,0.0002375,4,0.013020000000000002,-9.384,0,0.038,0.66392,1,0.501,456480,21
0.30379999999999996,0.301,0.62,0.0,0,0.041800000000000004,-5.274,1,0.0419,0.70456,4,0.424,308921,72
0.3129,0.3591,0.708,7.55e-07,7,0.0097,-5.345,1,0.0505,0.728496,4,0.662,271648,39
0.30379999999999996,0.41229999999999994,0.532,0.000785,0,0.015880000000000002,-12.021,1,0.0359,0.627472,4,0.527,356760,49
0.30519999999999997,0.3836,0.604,0.0,4,0.033,-7.511,1,0.124,0.610912,4,0.602,221961,48
0.40669999999999995,0.3871,0.576,0.0,9,0.030600000000000002,-6.608,0,0.03,0.607996,4,0.629,166240,22
0.3129,0.2373,0.635,0.0,3,0.01838,-6.486,1,0.0431,0.540904,1,0.462,280000,44
0.17359999999999998,0.3675,0.571,0.000461,0,0.0616,-8.769,1,0.0312,0.554864,4,0.501,297920,38
0.2366,0.17709999999999998,0.571,0.0,10,0.0332,-6.508,1,0.0325,0.512184,3,0.496,243747,18
0.26039999999999996,0.39759999999999995,0.521,4.495e-05,7,0.025800000000000003,-9.234,1,0.0407,0.607992,4,0.428,239933,57
0.2352,0.3633,0.603,5.35e-05,1,0.014760000000000002,-7.912,1,0.048,0.5878239999999999,4,0.67,204521,43
0.252,0.3444,0.729,3.47e-05,4,0.0414,-6.564,0,0.0259,0.5438200000000001,4,0.507,200480,41
0.3269,0.4564,0.466,0.0,7,0.0412,-6.687,1,0.0364,0.599976,4,0.508,224000,47
0.24569999999999997,0.3745,0.52,0.00321,7,0.0158,-8.901,1,0.037,0.680296,4,0.628,276706,33
0.2723,0.4396,0.492,0.0,4,0.013980000000000001,-8.6,0,0.0359,0.567856,4,0.487,247473,34
0.2345,0.43119999999999997,0.548,0.000535,0,0.015340000000000001,-8.028,1,0.0521,0.6755119999999999,4,0.629,208827,39
