acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
1.946e-05,0.5194,0.867,0.38,1,0.022400000000000003,-12.183,0,0.0444,0.5199239999999999,4,0.273,297522,28
0.015049999999999997,0.4850999999999999,0.867,0.438,6,0.0238,-10.746,0,0.0447,0.52,4,0.299,353086,51
0.1288,0.5992,0.828,0.446,4,0.011940000000000001,-7.163,0,0.0753,0.420072,4,0.264,280973,19
0.0006006,0.5789,0.753,0.263,0,0.015,-6.574,1,0.0538,0.519992,4,0.161,271611,56
3.794e-05,0.5376,0.81,0.4415,1,0.0206,-5.779,1,0.0428,0.507948,4,0.329,491389,1
0.02534,0.6048,0.933,0.435,7,0.026600000000000002,-6.292,0,0.087,0.5281359999999999,4,0.356,365397,6
0.01757,0.5067999999999999,0.698,0.4165,2,0.019360000000000002,-11.161,1,0.0541,0.49605200000000005,4,0.238,401063,54
0.03528,0.5663,0.664,0.358,4,0.022000000000000002,-7.777,0,0.14,0.488048,4,0.269,424923,39
0.00756,0.574,0.901,0.426,0,0.020200000000000003,-5.208,0,0.0553,0.492628,4,0.247,278465,29
0.17779999999999999,0.5551,0.91,0.4615,11,0.017,-9.29,1,0.141,0.660036,4,0.304,445720,30
0.02506,0.5851999999999999,0.78,0.393,10,0.01364,-10.003,0,0.0774,0.480028,4,0.37,390424,41
1.029e-05,0.5249999999999999,0.68,0.4505,2,0.032600000000000004,-8.096,1,0.0641,0.455988,4,0.281,255896,8
0.002226,0.5201,0.856,0.4505,6,0.026600000000000002,-8.818,0,0.132,0.532048,4,0.358,371729,27
2.38e-05,0.5704999999999999,0.84,0.3805,1,0.012920000000000001,-13.223,1,0.0568,0.492128,4,0.182,492406,20
0.0476,0.5067999999999999,0.879,0.417,0,0.0714,-6.739,1,0.036,0.420076,4,0.237,150875,32
2.772e-05,0.5033,0.788,0.4065,8,0.0216,-8.551,0,0.0395,0.5159239999999999,4,0.217,363978,37
0.04395999999999999,0.5404,0.71,0.3845,4,0.011020000000000002,-11.52,0,0.0399,0.468036,4,0.204,332533,43
