album_id,artists_id,disc_number,id,name,playlist,preview_url,track_number,uri
3J0pR16T5aqUowmCHhJjhf,5edKZc17JA7e6aCHoxDuye,1,5xRgD6a5o9Y4ihlSFXVAA6,I Am King I Am Queen,The Sound of Everything,https://p.scdn.co/mp3-preview/12e140d83b69fee56cdb1542237b5c7750a485bc?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:5xRgD6a5o9Y4ihlSFXVAA6
6zPGNuCikxTQLI8ZQuHNsQ,7EkkWNWPiWFQ0rA9IEmMXs,1,4LSPhOVHew694KG2IAA6Ap,Crush On,The Sound of Everything,https://p.scdn.co/mp3-preview/bcb8379bd6f0bd593a11f3112004c5edba058138?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:4LSPhOVHew694KG2IAA6Ap
6r0Q9PKXGc9CyPvnmsrZzP,1HExVl6jUdYXFYmB6GoKDV,1,0aybvksDnNmOc0KPFohkCv,No Ordinary Love,The Sound of Everything,https://p.scdn.co/mp3-preview/fb98054a3b14171eb29bfcda3a120425cbbcd196?cid=774b29d4f13844c495f206cafdad9c86,8,spotify:track:0aybvksDnNmOc0KPFohkCv
1j6Hr9ZFTNbAOj953dqmfb,"3441uYrkzgTWwjXLd13R0U,1dKdetem2xEmjgvyymzytS",1,1K4yeYrle3iVh2FB3bD5uK,No Estoy Perdiendo Nada,The Sound of Everything,https://p.scdn.co/mp3-preview/5eb3800ec4e47228a5e67d19b550d6ca3409aa72?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:1K4yeYrle3iVh2FB3bD5uK
5QaKqeRZg765yvlvrq2lIT,40ZElxHldNyvn7x8WRC6fh,1,3fsPD07oy4Desemhtc0N9T,stay sane,The Sound of Everything,https://p.scdn.co/mp3-preview/bdac5ee42835d0f3254dbd303cff23d8e01c4d71?cid=774b29d4f13844c495f206cafdad9c86,11,spotify:track:3fsPD07oy4Desemhtc0N9T
6QxhWDsUS4Oyl8CulrKh2C,0Fr0zPdpSZyzTCvXDZ1Two,1,2NaUxOQSj0Dkjn3FFIdBcV,Tokere,The Sound of Everything,https://p.scdn.co/mp3-preview/0f5a4666efd21369d2d220c1e5c290ce57c97a3e?cid=774b29d4f13844c495f206cafdad9c86,20,spotify:track:2NaUxOQSj0Dkjn3FFIdBcV
7BrlhEO8dHiNmU8A1Ep9RZ,"66W9LaWS0DPdL7Sz8iYGYe,0ZED1XzwlLHW4ZaG4lOT6m",1,2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending - feat. Julia Michaels,The Sound of Everything,https://p.scdn.co/mp3-preview/018d975f965ed16e92e601c53afa1c7e7ce9ab27?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ
5IwOZQP8N8aklileNY9KXu,5zZpD0w7JdJ56hd9rjGyiu,1,1B0wPBnyl3DCCJSzfcQLsi,Contramarea (Vivo),The Sound of Everything,https://p.scdn.co/mp3-preview/ce094472cd75261db8b93e839911d198eeb48a1a?cid=774b29d4f13844c495f206cafdad9c86,11,spotify:track:1B0wPBnyl3DCCJSzfcQLsi
2parAmJdWG10jssiNsOXiE,42dhk9lDw94JXNUEgf8cUF,1,6AGtIOvQef30aq7IZiyAEs,Skeletons Rise,The Sound of Everything,https://p.scdn.co/mp3-preview/2e07a210db112c67b8484601bbc01d30684a4408?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:6AGtIOvQef30aq7IZiyAEs
0ostYFZgXFIKiELEON4i9C,3ef5jXgCHWvT6TvUrTjnJ8,1,7JCKVhqAEmhXeYkCvfhfT6,Tempo Para Cantar,The Sound of Everything,https://p.scdn.co/mp3-preview/f6c62a3367c206f9c1c5fb6e8c1114edd377af40?cid=774b29d4f13844c495f206cafdad9c86,5,spotify:track:7JCKVhqAEmhXeYkCvfhfT6
