album_id,artists_id,disc_number,id,name,playlist,preview_url,track_number,uri
3uPdbl5It4snYAz6JHDTIX,3RhKSqhIE9U22yFEobw68e,1,1K3LOinFiIOTmFNmX3XJ3Y,Africain à Paris,The Sound of Everything,https://p.scdn.co/mp3-preview/fb5e4d8aff1159875ff62427ca53d7ee875bf2f3?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:1K3LOinFiIOTmFNmX3XJ3Y
19yrvqmhgLp0H62nQrzeXR,1HIExD1wI4d0Y6Ehzl0YII,2,3p2R6sc2J9ESsqddoWJGoh,Schifoan,The Sound of Everything,https://p.scdn.co/mp3-preview/1ca116027eca753733d0ab510560dc3195507869?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:3p2R6sc2J9ESsqddoWJGoh
36x360SOIwBFqBkKKtPdTB,3RMsDDxTorYk4wSmaZCFfb,1,5CRvFVy7trgmzVyFfLmmKh,Gigglebiz Theme Tune,The Sound of Everything,https://p.scdn.co/mp3-preview/f83b1b78cd6f45a8ed312ea9a0d7bdc25db7f648?cid=774b29d4f13844c495f206cafdad9c86,8,spotify:track:5CRvFVy7trgmzVyFfLmmKh
1XEWS0BeQF7eY52r52SBj9,5vxKMqG0z8knjmARqaVv1U,1,1ZQZEgV1v25lTQYWdHbfTh,Cabinda A Cunene,The Sound of Everything,https://p.scdn.co/mp3-preview/4d494564621e7cea2bbfc61b4584b1c7bd82de72?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:1ZQZEgV1v25lTQYWdHbfTh
33ZIG2aSnfDw4PsjvINRAs,5FKexvtYHfpvf17ZnGWulN,1,4y4vVGpG0yFSIIhAqosMfi,Mistura de Carimbo Com Ciranda,The Sound of Everything,https://p.scdn.co/mp3-preview/4ab20bb700b583b68bfabafff58e78b55a1f7fc7?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4y4vVGpG0yFSIIhAqosMfi
3SQO9WCqdtEMUclk7oMIT2,"2xfdrsA1TWrKlaEfQQbbmf,0FY3Ky0gOI9CatbVuQ5Anx",1,5NKsz3ZklHNHbCVxMHiFU7,Elsa,The Sound of Everything,https://p.scdn.co/mp3-preview/bbef1b0872793078582e1ff7916b2bb078256bd8?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:5NKsz3ZklHNHbCVxMHiFU7
2xumgy1DDUx42GA14uMogt,5yTrVUubgntK5Gxzrr3cz3,1,189ZkWdzkPWrNy5HmGW4XA,Amor Platonico,The Sound of Everything,https://p.scdn.co/mp3-preview/927658d03206159ec2da391b54725ddd299c9855?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:189ZkWdzkPWrNy5HmGW4XA
5TXzXK8XclNSvQccVUiCf2,"48R2gYdPKtfnfKAzhSVPUx,2u33e5jDELbQShERkYzBR6",1,3lCbsHaN1wCxyDzcNN2x4N,Si Me Tomo Una Cerveza,The Sound of Everything,https://p.scdn.co/mp3-preview/c3a5bd46519ec0632f92c49226924a09a2c6c0a3?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:3lCbsHaN1wCxyDzcNN2x4N
4lrHnkZZjlFR5EgC9Dlv9P,19M8Gfe7Ydw6b8293gtlt7,1,4AS4PjJoYH9F2vig6WP6gb,Paloma Ajena,The Sound of Everything,https://p.scdn.co/mp3-preview/9fa9664b903cd5f9ddae2bd53cccf0028509ba66?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:4AS4PjJoYH9F2vig6WP6gb
3uk3dTZkdV9kTMhxXrwF33,2WXllWJylpBWxIAHHcTEQ0,1,50dk1i4AbqdR2S72uXO3PH,Vienes y Te Vas - En Vivo,The Sound of Everything,https://p.scdn.co/mp3-preview/fad1b1592d7959902f12ef71ba1d476f62de94a0?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:50dk1i4AbqdR2S72uXO3PH
