acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
0.01239,0.378,0.825,0.0,10,0.01754,-7.565,0,0.0236,0.364116,4,0.687,235893,29
0.00826,0.40319999999999995,0.9,0.0,5,0.12560000000000002,-2.879,0,0.124,0.300184,4,0.75,202093,49
0.00014979999999999998,0.3696,0.958,0.0,0,0.0416,-4.637,1,0.0318,0.47965199999999997,4,0.775,171493,21
0.12179999999999998,0.3857,0.821,0.0,0,0.074,-9.143,1,0.0887,0.385216,4,0.775,263267,55
0.03514,0.5145,0.878,0.0175,6,0.013760000000000001,-3.097,1,0.072,0.20998,4,0.738,239177,35
0.00763,0.434,0.78,0.0,0,0.022400000000000003,-4.057,0,0.0612,0.535996,4,0.709,195520,2
0.0007,0.34859999999999997,0.94,0.0,9,0.071,-4.605,1,0.0518,0.44018,4,0.796,203107,42
0.02569,0.3801,0.855,0.0,5,0.056799999999999996,-4.041,0,0.0756,0.37608800000000003,4,0.774,229846,41
0.0966,0.5516,0.972,5.85e-07,0,0.05360000000000001,-3.543,1,0.0416,0.400032,4,0.674,237613,35
0.2065,0.49699999999999994,0.944,0.0,0,0.0606,-2.634,1,0.046,0.47201600000000005,4,0.785,518583,38
0.0021769999999999997,0.34299999999999997,0.958,0.0,9,0.0348,-1.879,1,0.096,0.370168,4,0.8,224427,31
0.1883,0.3864,0.809,3.925e-05,0,0.16720000000000002,-9.177,1,0.056,0.414696,4,0.78,536587,24
0.01953,0.28909999999999997,0.745,1.395e-05,9,0.0362,-7.211,1,0.0496,0.487132,4,0.781,214200,30
0.002149,0.42139999999999994,0.799,0.000334,9,0.010480000000000001,-12.171,0,0.0366,0.37687200000000004,4,0.791,297707,51
0.015819999999999997,0.4697,0.847,8.65e-05,9,0.028399999999999998,-6.526,1,0.0457,0.442316,4,0.775,338427,40
0.058589999999999996,0.3836,0.839,0.0,3,0.015260000000000003,-5.224,0,0.137,0.32454,3,0.856,180000,59
0.17359999999999998,0.5075,0.859,0.0,2,0.0444,-3.866,0,0.132,0.540492,4,0.727,222213,36
0.0924,0.5908,0.9,0.0,8,0.01974,-4.994,1,0.0707,0.416088,4,0.705,158852,53
0.0006355999999999999,0.3773,0.965,0.00106,0,0.061,-2.941,1,0.0488,0.421896,4,0.826,121104,7
0.004298,0.46199999999999997,0.922,6.6e-07,1,0.0432,-3.432,1,0.0384,0.40962400000000004,4,0.803,150493,18
0.03311,0.4599,0.882,0.1195,4,0.049,-5.2,0,0.044,0.461424,4,0.728,212767,36
0.0749,0.5368999999999999,0.879,0.0,2,0.012,-1.168,1,0.104,0.319916,4,0.8,205897,21
0.043609999999999996,0.4431,0.781,4.505e-05,6,0.024800000000000003,-5.778,0,0.126,0.511004,4,0.749,182925,64
0.14489999999999997,0.5277999999999999,0.85,0.0,5,0.04020000000000001,-3.541,1,0.12,0.312,4,0.736,228205,38
0.019389999999999998,0.40319999999999995,0.816,3.54e-05,11,0.020200000000000003,-5.602,1,0.0449,0.39527999999999996,4,0.847,192400,30
0.07139999999999999,0.41439999999999994,0.868,1.805e-06,6,0.01716,-4.05,1,0.145,0.35176,4,0.86,221607,42
0.001267,0.3591,0.83,0.0,6,0.01024,-4.71,0,0.0718,0.331928,4,0.714,183813,59
0.12389999999999998,0.48999999999999994,0.904,5.65e-06,6,0.0902,-3.903,0,0.0622,0.471824,4,0.714,243000,34
0.1379,0.43539999999999995,0.77,0.0,9,0.020200000000000003,-3.878,1,0.048,0.39284399999999997,4,0.818,222507,27
0.0002891,0.3633,0.794,0.00625,9,0.01366,-4.939,0,0.0308,0.42008,4,0.838,296507,2
0.020929999999999997,0.43679999999999997,0.86,0.0,6,0.0238,-2.239,1,0.106,0.36003199999999996,4,0.728,226403,2
0.006621999999999999,0.43189999999999995,0.898,0.1325,10,0.0434,-7.028,1,0.0344,0.43037200000000003,4,0.807,252107,22
0.005502,0.38780000000000003,0.923,0.0,2,0.0698,-4.67,1,0.0532,0.479116,4,0.745,148750,28
5.558e-06,0.26739999999999997,0.831,3.63e-05,0,0.0852,-6.682,1,0.0399,0.42860000000000004,4,0.792,229547,8
0.19949999999999998,0.44799999999999995,0.849,0.0,5,0.015359999999999999,-2.766,1,0.0526,0.38818,4,0.667,193551,49
3.871e-06,0.4095,0.772,0.1425,5,0.01948,-12.16,1,0.0429,0.527928,4,0.764,182187,38
0.0805,0.43189999999999995,0.93,0.0,9,0.09280000000000001,-3.048,0,0.0557,0.369732,4,0.777,121304,21
0.1435,0.48439999999999994,0.938,0.00325,11,0.05620000000000001,-6.25,0,0.0529,0.474312,4,0.71,351373,38
0.05866,0.3619,0.933,0.0,0,0.017,-3.637,1,0.0521,0.439888,4,0.834,223827,29
0.154,0.38430000000000003,0.861,0.0,1,0.0722,-2.526,1,0.0459,0.328168,4,0.739,248653,51
0.004207,0.4718,0.884,0.0001535,8,0.0626,-6.409,1,0.0397,0.43599200000000005,4,0.742,323185,45
0.04081,0.41159999999999997,0.819,3.285e-05,0,0.026400000000000003,-8.44,0,0.0286,0.379616,4,0.899,169880,24
0.031149999999999997,0.4256,0.966,3.16e-05,2,0.0588,-2.25,1,0.0738,0.44256,4,0.843,172773,34
0.01645,0.42279999999999995,0.848,0.0935,5,0.0712,-6.516,0,0.0447,0.31989999999999996,4,0.692,237505,40
0.02562,0.2821,0.767,0.0,4,0.0636,-6.743,1,0.0431,0.501876,4,0.743,166800,40
0.00756,0.385,0.928,0.0,10,0.020000000000000004,-4.641,1,0.0856,0.315904,4,0.799,280760,36
0.12389999999999998,0.5341,0.817,2.43e-06,5,0.0398,-4.349,1,0.0423,0.36403199999999997,4,0.743,172088,50
0.1407,0.49629999999999996,0.81,0.0,1,0.011380000000000001,-5.983,0,0.0478,0.440056,4,0.773,251347,44
0.12039999999999998,0.3171,0.887,0.0,2,0.0242,-4.644,1,0.0535,0.312108,4,0.775,220333,30
0.024079999999999997,0.48229999999999995,0.789,7.55e-06,9,0.0298,-10.398,1,0.0388,0.512024,4,0.772,217500,37
0.05179999999999999,0.40459999999999996,0.876,2.285e-05,2,0.15760000000000002,-7.196,1,0.0442,0.440192,4,0.754,195307,44
0.038079999999999996,0.49489999999999995,0.83,0.03745,9,0.01248,-5.267,0,0.0361,0.383956,4,0.683,268640,30
0.004403,0.40459999999999996,0.858,7.05e-05,7,0.015359999999999999,-7.541,1,0.0413,0.471764,4,0.69,225493,1
0.000917,0.44099999999999995,0.906,0.0,9,0.0514,-2.564,1,0.0366,0.443956,4,0.775,186427,41
0.00777,0.3164,0.725,0.0,3,0.021400000000000002,-7.894,1,0.112,0.40372399999999997,4,0.705,245760,46
0.024079999999999997,0.3199,0.833,0.0,0,0.0502,-5.505,1,0.0547,0.33348,4,0.747,170440,23
0.07279999999999999,0.3549,0.824,8.7e-07,7,0.023400000000000004,-10.008,1,0.0637,0.441664,3,0.761,396304,21
0.05712,0.4815999999999999,0.868,1.68e-05,7,0.0492,-6.103,1,0.0658,0.329924,3,0.758,224979,23
0.1148,0.4578,0.795,0.0,1,0.0208,-10.331,1,0.158,0.519944,4,0.784,198000,0
0.01057,0.5194,0.818,6.7e-06,5,0.0252,-4.274,0,0.144,0.42005200000000004,4,0.774,171429,38
0.06412,0.43889999999999996,0.836,0.002985,10,0.0206,-5.51,0,0.0322,0.38795999999999997,4,0.708,266027,39
0.05116999999999999,0.4473,0.813,0.0,7,0.01726,-12.134,0,0.0512,0.39999599999999996,4,0.806,351504,26
0.013229999999999999,0.3626,0.852,0.0,11,0.054000000000000006,-9.836,1,0.0413,0.431952,4,0.75,176907,21
0.0039829999999999996,0.36469999999999997,0.927,0.0,0,0.028999999999999998,-2.342,1,0.0622,0.500028,4,0.812,136453,38
0.0672,0.434,0.901,1.275e-05,7,0.011540000000000002,-3.699,1,0.0436,0.40076,4,0.733,416053,30
0.0756,0.4578,0.85,0.0,7,0.019020000000000002,-5.204,0,0.0343,0.319848,4,0.772,220500,45
0.10779999999999999,0.4976999999999999,0.862,9.8e-06,1,0.0262,-8.806,0,0.0405,0.376052,4,0.755,192000,43
0.002219,0.39969999999999994,0.8,0.04125,8,0.0362,-4.913,1,0.0492,0.431908,4,0.802,163365,25
0.07139999999999999,0.43539999999999995,0.779,0.000467,9,0.028999999999999998,-5.799,1,0.037,0.400052,4,0.761,249661,55
0.09029999999999999,0.41439999999999994,0.797,0.0,4,0.05,-4.126,0,0.0278,0.508676,4,0.734,211360,43
0.0001393,0.3892,0.764,3.205e-05,11,0.01772,-5.565,1,0.0391,0.45426799999999995,4,0.845,184733,24
0.002562,0.4095,0.918,2.11e-05,4,0.05360000000000001,-8.048,0,0.0327,0.380244,4,0.709,166333,33
0.1351,0.4375,0.802,0.0,6,0.0126,-4.716,0,0.0299,0.43998000000000004,4,0.681,228173,47
0.07769999999999999,0.39549999999999996,0.943,0.000389,4,0.039400000000000004,-3.685,1,0.072,0.45632799999999996,4,0.708,279987,35
0.0001491,0.39130000000000004,0.843,0.0,2,0.0294,-4.671,1,0.0306,0.424192,4,0.752,189467,29
0.10149999999999999,0.4976999999999999,0.876,0.0,5,0.023200000000000002,-4.144,1,0.0551,0.491876,4,0.706,210732,62
0.022539999999999998,0.5033,0.805,0.0,11,0.01732,-4.688,0,0.0446,0.391972,4,0.689,172667,47
0.07629999999999999,0.3675,0.833,5.25e-06,9,0.0362,-6.284,1,0.0522,0.331368,4,0.931,188707,46
