acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
0.6118,0.2828,0.299,0.364,4,0.01674,-14.448,0,0.0597,0.664384,4,0.114,307293,39
0.6950999999999999,0.2317,0.176,0.4705,5,0.0218,-16.402,0,0.0522,0.696256,4,0.0862,234235,29
0.6867,0.1442,0.12,0.2915,2,0.0206,-19.249,1,0.0416,0.706196,5,0.152,274840,37
0.6489,0.26039999999999996,0.316,0.389,9,0.022600000000000002,-14.49,0,0.0429,0.598508,4,0.236,273562,24
0.6251,0.22119999999999998,0.161,0.245,0,0.008060000000000001,-22.292,0,0.0445,0.56552,4,0.0622,458893,22
0.6517,0.12249999999999998,0.219,0.4335,8,0.0204,-13.377,1,0.0381,0.631216,3,0.157,177045,40
0.6111,0.17149999999999999,0.155,0.449,5,0.018920000000000003,-19.256,0,0.0389,0.700064,4,0.148,298000,22
0.6124999999999999,0.0959,0.209,0.4635,2,0.043800000000000006,-16.153,0,0.0338,0.5661280000000001,3,0.0221,346365,39
0.6496,0.1953,0.212,0.402,7,0.0356,-13.228,0,0.0342,0.7189,3,0.222,264040,40
0.6706,0.2667,0.163,0.415,0,0.0206,-17.488,0,0.0488,0.6104080000000001,3,0.184,482164,26
0.5753999999999999,0.0798,0.238,0.4385,3,0.03,-14.947,1,0.0358,0.6944239999999999,3,0.0521,168587,10
0.6279,0.2345,0.32,0.4525,3,0.020200000000000003,-17.661,1,0.0434,0.66696,3,0.0322,189347,2
0.6909,0.1883,0.222,0.4665,0,0.027200000000000002,-18.886,1,0.0385,0.55032,4,0.258,221653,46
0.6937,0.08259999999999999,0.159,0.365,9,0.0208,-13.324,0,0.0405,0.704716,4,0.332,209907,21
0.6818,0.12459999999999999,0.213,0.427,9,0.013880000000000002,-17.332,0,0.0423,0.5884320000000001,3,0.132,323253,26
