acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
0.6363,0.1533,0.0304,0.469,7,0.0298,-35.2,0,0.0375,0.520976,4,0.114,251067,47
0.6782999999999999,0.1148,0.0674,0.469,6,0.01862,-25.916,1,0.042,0.574716,3,0.0324,192200,32
0.6958,0.26739999999999997,0.0499,0.453,2,0.0218,-25.262,1,0.0548,0.5036120000000001,4,0.0779,316653,60
0.6958,0.2303,0.0102,0.459,6,0.0206,-29.214,0,0.0385,0.528976,3,0.0684,271213,50
0.6740999999999999,0.1575,0.065,0.4505,9,0.0238,-23.092,1,0.0474,0.540176,4,0.169,201053,39
0.6895,0.15189999999999998,0.0589,0.47,4,0.016880000000000003,-28.101,0,0.0329,0.542024,3,0.0386,177000,39
0.693,0.175,0.00664,0.4415,1,0.0222,-36.729,1,0.0464,0.5776760000000001,3,0.0279,198691,51
0.6950999999999999,0.0581,0.0123,0.2315,2,0.01626,-33.185,1,0.0455,0.684016,3,0.0357,305707,29
0.6909,0.20089999999999997,0.0183,0.4625,1,0.0173,-30.033,1,0.0389,0.49514400000000003,4,0.0841,248000,37
0.6859999999999999,0.05439,0.00283,0.4755,9,0.021,-37.322,0,0.0423,0.6994239999999999,5,0.0394,125295,20
0.6782999999999999,0.10219999999999999,0.0176,0.2775,0,0.022600000000000002,-27.983,1,0.042,0.5585760000000001,3,0.0503,412213,36
0.6943999999999999,0.14279999999999998,0.167,0.3895,3,0.021400000000000002,-17.264,1,0.0389,0.5411520000000001,3,0.0812,225373,44
0.5523,0.19949999999999998,0.0978,0.4595,9,0.020200000000000003,-20.705,0,0.0361,0.708872,3,0.0359,304387,39
0.6958,0.1421,0.0578,0.437,1,0.031,-29.526,1,0.0477,0.540336,4,0.113,241399,49
0.6909,0.20369999999999996,0.0366,0.4575,5,0.0208,-28.232,1,0.0433,0.806416,4,0.158,170000,47
0.6950999999999999,0.217,0.077,0.4545,5,0.01906,-20.495,1,0.0493,0.503708,1,0.04,180000,23
0.5271,0.11549999999999999,0.0187,0.4505,3,0.01606,-37.358,0,0.046,0.7618440000000001,4,0.031,265400,43
0.5859,0.0938,0.0529,0.439,2,0.022400000000000003,-21.956,1,0.0426,0.70786,4,0.0821,421463,43
0.6712999999999999,0.10079999999999999,0.0544,0.4345,7,0.0208,-23.997,1,0.05,0.681804,4,0.0553,347263,2
0.6755,0.1932,0.127,0.4095,3,0.0304,-17.966,1,0.0416,0.490088,4,0.14,524933,15
0.6901999999999999,0.20369999999999996,0.097,0.4715,2,0.01646,-23.87,1,0.037,0.552196,3,0.0495,353827,2
0.6839,0.20369999999999996,0.0372,0.4025,11,0.01204,-21.056,0,0.0411,0.576912,3,0.107,409640,41
0.6965,0.26599999999999996,0.00402,0.4495,2,0.01452,-34.344,0,0.0446,0.512952,4,0.0597,251733,29
0.6965,0.1827,0.00746,0.4775,8,0.021,-34.733,1,0.0542,0.723056,4,0.062,314187,53
0.5495,0.21419999999999997,0.0461,0.411,4,0.022000000000000002,-22.275,1,0.0317,0.554988,4,0.039,202533,33
0.6943999999999999,0.11549999999999999,0.169,0.4685,9,0.018160000000000003,-25.429,1,0.0398,0.518244,5,0.108,213093,32
0.6803999999999999,0.07139999999999999,0.0842,0.398,10,0.0698,-25.542,1,0.045,0.687528,4,0.139,194160,38
0.6579999999999999,0.1883,0.127,0.4545,0,0.0228,-16.917,0,0.0357,0.500964,3,0.0981,239053,51
0.6888,0.10779999999999999,0.0551,0.4365,11,0.01686,-27.156,1,0.0494,0.545764,4,0.0334,324067,35
0.6839,0.1694,0.102,0.419,0,0.020000000000000004,-20.934,1,0.0472,0.533184,4,0.0387,344000,0
0.6909,0.2401,0.0209,0.461,8,0.0252,-27.015,1,0.0398,0.500968,3,0.0393,497773,54
0.6943999999999999,0.1575,0.0047,0.4405,1,0.014440000000000001,-30.928,0,0.0509,0.65466,4,0.186,259493,65
0.6852999999999999,0.12249999999999998,0.0321,0.4535,0,0.10660000000000001,-29.111,1,0.0527,0.485916,4,0.0321,84133,4
0.6293,0.07279999999999999,0.0797,0.4255,5,0.0206,-32.561,1,0.0461,0.63226,1,0.0354,147000,32
0.6740999999999999,0.11549999999999999,0.0436,0.4675,1,0.016900000000000002,-27.528,1,0.0498,0.564516,3,0.0381,835169,50
0.6426,0.24709999999999996,0.00807,0.4475,9,0.01794,-21.289,0,0.0497,0.534728,3,0.0648,369325,25
0.6880999999999999,0.1358,0.0545,0.4725,4,0.011020000000000002,-24.877,1,0.0366,0.563864,4,0.0385,644273,57
0.6363,0.10289999999999999,0.00896,0.487,9,0.06760000000000001,-35.735,0,0.039,0.548944,4,0.0325,479482,34
