album_id,artists_id,disc_number,id,name,playlist,preview_url,track_number,uri
2sU8ByeYc5BOBFNDr58CGV,687cZJR45JO7jhk1LHIbgq,1,2mzM4Y0Rnx2BDZqRnhQ5Q6,Free Mind,The Sound of Everything,https://p.scdn.co/mp3-preview/6985e46a93d7b80d0586c38d37a897bd8a8070ba?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:2mzM4Y0Rnx2BDZqRnhQ5Q6
7fAq8KCFSA1w7AsIqteCZm,"3XDUygv5BBH0M4dQCaDOWw,53cMVTJiUDvstJ123Y2AIr",1,10dI3kzG5pLKx6n0lfNOKm,Get Lucky,The Sound of Everything,https://p.scdn.co/mp3-preview/06afb19ecd2c7a9498f9e4d84cb4222c59755201?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:10dI3kzG5pLKx6n0lfNOKm
5pXeIuNUX07w4QsZ2lJjO3,1ououJVWgWsHWMYDLvT7sH,1,50QieT02ZZJZ5EHDie1dCR,Cherub,The Sound of Everything,https://p.scdn.co/mp3-preview/904fcda5543d8c24ca060bd1b4b86e6bc8db8627?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:50QieT02ZZJZ5EHDie1dCR
0EtACqQ3jZOa98hnbRx1Nb,5uRUbTUQysRUR7PUy7pimM,1,17tcPIrHqmEbyBJOFHFozK,Don't Know What To Say (Don't Know What To Do),The Sound of Everything,https://p.scdn.co/mp3-preview/2fb7f79021ed5801d9f830658a16e3cdea429f2f?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:17tcPIrHqmEbyBJOFHFozK
0SmIP9iotCI35GjGT8gDIZ,"2ciqUg6RhaDEntzDypaoAF,4TJV8OJJ5lfZGhDdHcEn4R",1,1VdF3aDe5krQsXjeRHR3Ys,Der Er Nåde Nok for Os,The Sound of Everything,https://p.scdn.co/mp3-preview/76b0fc46c1d132e10c895267617e3c8b198a83a2?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:1VdF3aDe5krQsXjeRHR3Ys
2H4MixFpi9BQdQqtozfovm,1QNEVFk8MjculKl5977kfy,1,7u63zva845rv8tRFi9FG8a,I Love You Like An Alcoholic,The Sound of Everything,https://p.scdn.co/mp3-preview/7fb832b4f6dc5fbf5dbc092cac3ab32f81a1e867?cid=774b29d4f13844c495f206cafdad9c86,12,spotify:track:7u63zva845rv8tRFi9FG8a
4cZjfrhusXltfTUGUlt0hg,5lToDW3d2jgmKpVMi9RhHH,1,5PZWnLEEsEOY3Z8B81xq4e,De Nada Tenho Falta,The Sound of Everything,https://p.scdn.co/mp3-preview/d8200154d3f7263477190285e890ec41464b7351?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:5PZWnLEEsEOY3Z8B81xq4e
7Kr3JqOorX0PnfD1VyRgXO,1SKQlvND1dW9m2zUpdDWBb,1,28BK4QRcXi053VMCoLCgH4,Tíu Dropar,The Sound of Everything,https://p.scdn.co/mp3-preview/331d0ffd4fd7099fffceca0dbd44bf563526a2b0?cid=774b29d4f13844c495f206cafdad9c86,2,spotify:track:28BK4QRcXi053VMCoLCgH4
0ieSj735PdL4YaPSv7XxDI,"0HR90wEU7v0pQRVsltcQKO,5XUqgFooJpMOg8CaWml0q3",1,5klodtfP8ubHr30XuWtZoA,All the Leaves Are Falling,The Sound of Everything,https://p.scdn.co/mp3-preview/4f3d7677f280e442dc4260c214ea277270f7eaef?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:5klodtfP8ubHr30XuWtZoA
0iSpXXAw1Sm4RCvjNOKdUL,7FxVB5xQi2szfC6Us1ag9A,1,0hS54SC4TZFc3N7cSuTz48,Kotak Hati,The Sound of Everything,https://p.scdn.co/mp3-preview/d7ab342e89c2236413062161fce94e912d0358a4?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:0hS54SC4TZFc3N7cSuTz48
4mkViiqf8RITWObhQJDrsp,1ZiRuouid1bUvYXpEVaouj,1,0N9y6B3WnAqJRiCyXXw7wp,אולי בעולם אחר,The Sound of Everything,https://p.scdn.co/mp3-preview/4bde8cc0bf30942210e9e4d92bf9c96237b9ac9f?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:0N9y6B3WnAqJRiCyXXw7wp
3W88WSKnT9eUbthh1ymf5f,0HFTN7VRYN82RpqrHfIeez,1,0DueiH1s3aKBaBFP4oMiew,黄金の花(シングル・ヴァージョン),The Sound of Everything,https://p.scdn.co/mp3-preview/6cfa192d2fa45571d3b47dd382f30be7bbbcede7?cid=774b29d4f13844c495f206cafdad9c86,22,spotify:track:0DueiH1s3aKBaBFP4oMiew
2s1lH466ICjtzwgCDljKQK,04kzQulIze9pZ7MadKI9w2,1,4TqZ2UBfKPUiKUh9gK20UI,Lo Que Hay,The Sound of Everything,https://p.scdn.co/mp3-preview/8b253f66a31c2852a8ed114dc04ae62e354dce68?cid=774b29d4f13844c495f206cafdad9c86,9,spotify:track:4TqZ2UBfKPUiKUh9gK20UI
42RcfhknXvKeannfbcmmms,5pLwSB8dtEbrlK3tV0YFEX,1,6WlGwNW5kD5lRY6LISe0TZ,Hanya Satu Persinggahan,The Sound of Everything,https://p.scdn.co/mp3-preview/0c92d1638eb93b83705b300a057b1e5a15b1b85f?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:6WlGwNW5kD5lRY6LISe0TZ
4EpF3IZZZfBhAGokYHHI77,4zI9nHWxcxmH3dznd8jyn7,1,07HKaD41WdQGQyuwApssu5,Я куплю тебе дом,The Sound of Everything,https://p.scdn.co/mp3-preview/0f930088a79d0740e21d372e0fd158fb93f354b3?cid=774b29d4f13844c495f206cafdad9c86,15,spotify:track:07HKaD41WdQGQyuwApssu5
4Xu4bI4hDlKj4GJTRdEuKd,61GJGvVkImL0wkfUQ5XuR8,1,6lANIKI0KxBSHHvx2Jk5wu,Lávvu,The Sound of Everything,https://p.scdn.co/mp3-preview/e2af1e53859cfa99b47e0f15969adb64a0ec3742?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:6lANIKI0KxBSHHvx2Jk5wu
489krV42OriENi9Ki4UnkE,6thEUEg4pJq0H4aLVqNMwb,1,1umGfLWs5lKgtQ6iDohNn6,I Wanna Dance with Somebody (Who Loves Me),The Sound of Everything,https://p.scdn.co/mp3-preview/9491d0da9c7c373957a9978c724d7690330f5416?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:1umGfLWs5lKgtQ6iDohNn6
