album_id,artists_id,disc_number,id,name,playlist,preview_url,track_number,uri
3i0VwhlrNkux9OkoBn6w5l,06FYrXQiix8vRPUzyOPrAb,1,6spSTj7FA0rOfsZCZcW6NH,Art Guy,The Sound of Everything,https://p.scdn.co/mp3-preview/9a94afe4d750ae38c2ec2fc2dd1dd79f7e4adfb1?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:6spSTj7FA0rOfsZCZcW6NH
6bh8t9lJ1z1KIIixnpCrUR,5URFLvsIMbJIqmQL36FmvW,1,0HBYptBUJX7NBm82ogaw1y,Beast Mode,The Sound of Everything,https://p.scdn.co/mp3-preview/059fbfbf5230bb7a8f5aa3fac9f641b5e9234826?cid=774b29d4f13844c495f206cafdad9c86,6,spotify:track:0HBYptBUJX7NBm82ogaw1y
1fcwWfnwSzLaQECjyWsvYT,"7bQVHmJKaxiXYkZ2miMrwb,3camrFRWQjBFgfzZ6W62Ob",1,2uODswvtqDImhmVvoyDBIH,Fotbollstränare Bob Lindeman,The Sound of Everything,https://p.scdn.co/mp3-preview/61cd16e13452c2a7b60e8f441d4bbb1d0e83e07b?cid=774b29d4f13844c495f206cafdad9c86,4,spotify:track:2uODswvtqDImhmVvoyDBIH
4twDptGHkg7a9CHqd6E1DC,3rYH0eT8EkSbxGNkcaJEzW,1,3rLl99SGyzRtFKYzbUVB7d,Deals,The Sound of Everything,https://p.scdn.co/mp3-preview/2e158849ee9079e87231c5eb8d9920e4139e9a1e?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:3rLl99SGyzRtFKYzbUVB7d
