acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,duration_ms,popularity
1.1339999999999999e-06,0.13999999999999999,0.962,0.4125,5,0.048,-5.49,0,0.0583,0.52266,3,0.335,255400,30
0.1624,0.10359999999999998,0.964,0.3795,0,0.0288,-4.569,1,0.131,0.691928,4,0.25,222747,9
5.705e-06,0.1659,0.812,0.214,9,0.0578,-4.138,1,0.0576,0.616008,4,0.427,317067,30
0.00012389999999999998,0.2576,0.938,0.4255,9,0.038200000000000005,-8.022,0,0.067,0.651648,4,0.391,239151,12
3.227e-05,0.1946,0.966,0.222,11,0.040400000000000005,-3.432,0,0.0528,0.6645639999999999,4,0.424,268000,23
0.0003878,0.1414,0.893,0.4035,9,0.0176,-9.998,0,0.0419,0.670736,4,0.376,360751,37
1.085e-05,0.08679999999999999,0.864,0.433,0,0.10360000000000001,-4.01,1,0.0432,0.632432,4,0.439,125917,2
2.0369999999999997e-06,0.1162,0.9,0.303,6,0.06780000000000001,-8.536,0,0.109,0.6956079999999999,4,0.357,342760,36
9.169999999999999e-06,0.12669999999999998,0.967,0.275,2,0.0208,-3.561,1,0.181,0.65774,5,0.293,51920,31
3.6119999999999995e-06,0.1904,0.983,0.406,1,0.0378,-5.256,0,0.0971,0.52926,4,0.334,215080,26
0.0033599999999999997,0.19390000000000002,0.942,0.309,6,0.0752,-8.183,1,0.146,0.534668,4,0.355,183053,20
0.021419999999999998,0.2233,0.836,0.3475,2,0.0238,-5.168,0,0.0489,0.6397160000000001,4,0.263,570000,23
4.998e-06,0.1085,0.859,0.2355,7,0.050600000000000006,-6.959,1,0.155,0.685228,4,0.368,125337,16
0.0002779,0.1393,0.948,0.372,10,0.0256,-5.012,0,0.0511,0.653996,4,0.253,220316,21
