album,album_id,artist,artists_id,disc_number,id,name,playlist,playlist_id,popularity,preview_url,track_number,uri
Sun Gaze II,2UzEEr3LEKsLUKZQVCsXOo,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn,1,1oOILQcYPk9FDfgcu8LzoH,Pagano - Original Mix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,32,https://p.scdn.co/mp3-preview/84031f0182458a834cda08be5896ec9176ffb130?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:1oOILQcYPk9FDfgcu8LzoH
Cantos de Vision,2FFMtf8Log72Ow5A3ExNv5,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn,1,2xixdZ2dxE00bX6A6jV17m,Tzantza,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,47,https://p.scdn.co/mp3-preview/0762fe033fb77386eabe48365a7d122df60bac9e?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:2xixdZ2dxE00bX6A6jV17m
Visiones,62gKfe40f9KTZpkuGnbmED,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn AND 3BQDgh6CjxVXMhy00YEx3G,1,5auJid3318lKJOVzKfAGdW,Invocacion - Uji Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,31,https://p.scdn.co/mp3-preview/4d1bce7c7514b245b2f3fe1ace6f9dd1c43f6685?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:5auJid3318lKJOVzKfAGdW
Visiones,62gKfe40f9KTZpkuGnbmED,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn AND 6QdAAViTbB6P2XWfWFuDBV,1,3gYe1huwYTdioOT7Kob3k1,Bruxo - JAJA Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,35,https://p.scdn.co/mp3-preview/fcf58553041458a50f1642581c183ef71f8b8f52?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:3gYe1huwYTdioOT7Kob3k1
Prender el Alma,7Mz3hUKPxQMZco25qZ6sQF,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn,1,4mrkRBRhahbgcfimPihZVN,Colibria,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,54,https://p.scdn.co/mp3-preview/001707a8bda5207a27d638ff03b5cd0924e12c41?cid=e6971699b1de430f8161d4093d1d0d09,6,spotify:track:4mrkRBRhahbgcfimPihZVN
El Origen,0wOHl1sUUJ5fw2YLCClpyr,Rodrigo Gallardo,3fxdn6mfKvNFJ1Zx37On7W AND 1oXdrffaOVmxTsY90wSmbF,1,3Gy7zGBqXRp6MAlx5wXQgB,Maria Sabina,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,39,https://p.scdn.co/mp3-preview/f2ddf5cc9735b2a37200e9290535bdf1a4df83cb?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:3Gy7zGBqXRp6MAlx5wXQgB
Significant Others,3LPOvF8M3DijXowBs1MdDr,Nicolas Jaar,5a0etAzO5V26gvlbmHzT9W,1,0YQznyH9mJn6UTwWFHqy4b,El Bandido,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,57,https://p.scdn.co/mp3-preview/7ed3e4b3649fa080f8d8eadb01f46058fde7e4cb?cid=e6971699b1de430f8161d4093d1d0d09,3,spotify:track:0YQznyH9mJn6UTwWFHqy4b
Sirens,2EvZiOMBlC9b5hbjbZCjZv,Nicolas Jaar,5a0etAzO5V26gvlbmHzT9W,1,1fhIOXvolJoR1cIbS6ryyp,No,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,53,https://p.scdn.co/mp3-preview/c5a84debcec700e7c32d76cbb78ecdc813ac3305?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:1fhIOXvolJoR1cIbS6ryyp
"Deja Vu, Vol. 1",0HntmvvabhcZAMeZZ8VMlP,Nicolas Jaar,5a0etAzO5V26gvlbmHzT9W,1,0wGMIUnEr6JIHXG9zFOShS,Mi Mujer - ’17 Remastered Edit,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,14,https://p.scdn.co/mp3-preview/33e588cfa0b94a5d17e095fd90b9edf086d188a6?cid=e6971699b1de430f8161d4093d1d0d09,14,spotify:track:0wGMIUnEr6JIHXG9zFOShS
Prender el Alma,7Mz3hUKPxQMZco25qZ6sQF,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn AND 1oXdrffaOVmxTsY90wSmbF,1,0PKpSJUTYOT2EdWIhkDi01,Equinoccio,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,45,https://p.scdn.co/mp3-preview/aa126cced777d5f6f47e523b8638cfd2c03aacfa?cid=e6971699b1de430f8161d4093d1d0d09,8,spotify:track:0PKpSJUTYOT2EdWIhkDi01
Cenotes,7yxXs09QqG9iq1Mk6dsK5O,El Búho,1I7FVmvisCtSFzmm87mbLR,1,73myc2rii2DVG3HpTkGOnl,Manana Tepotzlan,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,56,https://p.scdn.co/mp3-preview/8fe8c8d35c09b950a800ae00a4cba708dea1c0c4?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:73myc2rii2DVG3HpTkGOnl
Cosmic Waves,7iDSk8ynLZB3oEGFnYpn07,Robot Koch,47V6nyjOrUR98qv6gkYssI,1,7FSDp0tqxA50yuMAOWggWL,Follow Birds,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,8,https://p.scdn.co/mp3-preview/dac268a6e2e1954a34aab691353d54b63b115804?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:7FSDp0tqxA50yuMAOWggWL
Karma / Gueto De Gent,4NjCGfP3nJ32GJBi9A5Ng7,Phillipi & Rodrigo,6XaCe40GiIt7ujxQvfmvsp,1,0oR9XRneKUIefSfy5y0IJ8,Gueto de Gent,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,42,https://p.scdn.co/mp3-preview/24346a392e448c47dd315c25ed56ef5ceccb8a63?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:0oR9XRneKUIefSfy5y0IJ8
Azulejos,226Q18LiqN0AXNR2AziLbJ,Populous,5Uy8Skuxzxf38jMDTndKIU AND 4rdJkXHNrMgowlwUdQAg8T,1,3RpZI5WtSMr65hXMprVERn,Azul Oro,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,25,https://p.scdn.co/mp3-preview/7c66c9f05f9b7c7efe49b7e96ce072401b1f8201?cid=e6971699b1de430f8161d4093d1d0d09,3,spotify:track:3RpZI5WtSMr65hXMprVERn
Tributaries: A Remix Album (El Búho Remixes),05SkQ3cqcaIaP4Oo5N9r4i,Populous,5Uy8Skuxzxf38jMDTndKIU AND 1I7FVmvisCtSFzmm87mbLR,1,4wt26JSP0zVor9MCBcq3p4,Alala - El Búho Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,27,https://p.scdn.co/mp3-preview/f1856d40fa95b7a6e55084f2b7fbbb6f7f7b2381?cid=e6971699b1de430f8161d4093d1d0d09,6,spotify:track:4wt26JSP0zVor9MCBcq3p4
Indoor Voyager EP,29wjqxriGDiYH1kFs4njxY,Oceanvs Orientalis,3gNEIgLeknpwkNViU8WAhg AND 0OltT51j3hIkgaDJqqPzDn,1,0RUgqD8jiepLsHbx1jaaMV,Tarlabasi - Nicola Cruz Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,23,https://p.scdn.co/mp3-preview/e52a6d9b270f3fd53d158157649a2d5fe5872824?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:0RUgqD8jiepLsHbx1jaaMV
Migration,2T64N96AVfsrRFJCUXQEoZ,Bonobo,0cmWgDlu9CwTgxPhf403hb AND 6FUsQ3dkSd27KwQ1iCugSV,1,5EGJ7e7frJjYja6H4afzoT,Bambro Koyo Ganda,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,58,https://p.scdn.co/mp3-preview/b6a27e42e030bda246c71e6bd794ea07bdb6dacf?cid=e6971699b1de430f8161d4093d1d0d09,7,spotify:track:5EGJ7e7frJjYja6H4afzoT
Los Ángeles,1vKoozkUisDPH7Jkg7NnDL,Mitú,3OlI3HjAc1LQUmd7wozF6k,1,3Fuz4z2P9YiMffbU7lkD4l,Neko,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,22,https://p.scdn.co/mp3-preview/dbefe79b3e9209e282d4723eced90c692c1c2974?cid=e6971699b1de430f8161d4093d1d0d09,3,spotify:track:3Fuz4z2P9YiMffbU7lkD4l
Battle Lines [Remixed],1rVRWqock6arU9LRN0jHgK,Bob Moses,6LHsnRBUYhFyt01PdKXAF5 AND 0evBopfnhhbHzmHebWTDx7,1,26F3gKJIxsyt5ogSiUSFEU,Back Down - Jonas Rathsman Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,21,https://p.scdn.co/mp3-preview/6fe39a74f7695522a8af16ceff23d58b0e5a4e61?cid=e6971699b1de430f8161d4093d1d0d09,7,spotify:track:26F3gKJIxsyt5ogSiUSFEU
