danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,disc_number,name,popularity,preview_url,track_number,uri,playlist,artists_id,album_id
0.654,0.298,11,-15.448,0,0.171,0.583,0.00757,0.0897,0.268,161.658,3vhn4KEnqJdVAzsT6huYXW,179773,3,1,Is,3,https://p.scdn.co/mp3-preview/4cb7b9f1b3832230c0d0ccf26485a64b68f56203?cid=774b29d4f13844c495f206cafdad9c86,12,spotify:track:3vhn4KEnqJdVAzsT6huYXW,dataset,"1FcH3hHeVuLnWNZnwQq29l,2PQRrwPqtSuskENZ4srYu9,2rHPaRrsgoK3ixbLV8dhs2,2wpMuVMZaaCcJF1ulE60pQ,27CI4ZYttp4mtjQpFpGxBD",0ab5JnF8emGteBhcsLQPtz
0.735,0.601,11,-10.57,0,0.1,0.099,0.525,0.356,0.368,110.043,6PwWoGdbvKVglyPqFmG6vM,134067,4,1,Zte,0,https://p.scdn.co/mp3-preview/f6028632cfbd78bf85200ca1af6642fd978d09dd?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:6PwWoGdbvKVglyPqFmG6vM,dataset,"1FcH3hHeVuLnWNZnwQq29l,0EkeJ6GVLK1AR4CxYsdNcq,0QFbEJKvK07HwzzDVmUo4h,2MfsilkTiFSCDIfWdVQTxP",0ab5JnF8emGteBhcsLQPtz
0.587,0.579,2,-11.019,1,0.0359,0.011,0.872,0.132,0.374,134.994,5UXPCmmKkEZGNA3SlmLH39,206200,4,1,Koi,1,https://p.scdn.co/mp3-preview/f31847a3b3396dca98815004b7dc16e1e755969c?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:5UXPCmmKkEZGNA3SlmLH39,dataset,"1FcH3hHeVuLnWNZnwQq29l,24bcqIDy1kxGa9uTlSGe5x",0ab5JnF8emGteBhcsLQPtz
0.351,0.343,9,-11.505,0,0.0478,0.822,0.00252,0.86,0.582,147.771,7rTv3h0OJcn4zHjXzltaFL,203640,3,1,La guerra di Piero,0,https://p.scdn.co/mp3-preview/e6f9338a2e5ca470d22d72c9d448fc9506e2e8a2?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:7rTv3h0OJcn4zHjXzltaFL,dataset,0GDacVSjt9x112n4HVyDue,3VvHonnheur0qt4kKUFxbP
0.662,0.86,7,-4.652,1,0.116,0.107,2.13e-05,0.233,0.322,134.965,627wpEfeAkw4TGdyHd3tdQ,243947,4,1,Agoa,0,https://p.scdn.co/mp3-preview/8cefce5272dafd1b21212bf4b8f094637028fedd?cid=774b29d4f13844c495f206cafdad9c86,10,spotify:track:627wpEfeAkw4TGdyHd3tdQ,dataset,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0bMqrWz11OVKWS9uQgJmEi
0.429,0.219,9,-14.25,1,0.0471,0.355,2.69e-06,0.106,0.0778,133.837,2SvXqxiG2ntfkEWvuABT7u,307680,4,1,Il mio canto libero,59,https://p.scdn.co/mp3-preview/b364266c80438e0f4967706ef5d615c69848dc56?cid=774b29d4f13844c495f206cafdad9c86,8,spotify:track:2SvXqxiG2ntfkEWvuABT7u,dataset,2caOYPej26UoQOyFnzXW3G,640jM4slSZl91IHfX0CiWH
0.829,0.826,6,-5.365,0,0.197,0.066,0.151,0.254,0.609,155.992,1ARaoMxi2evDYSY40yDULE,179440,4,1,Tropu po mei,1,https://p.scdn.co/mp3-preview/ad9ff1fd4504ed7483be7d3c47d0dc9ee9b5d755?cid=774b29d4f13844c495f206cafdad9c86,7,spotify:track:1ARaoMxi2evDYSY40yDULE,dataset,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0bMqrWz11OVKWS9uQgJmEi
0.82,0.781,10,-5.867,0,0.0607,0.0947,0.375,0.0636,0.804,90.018,0BJdMnxVxPbhIkkOqUlFFg,194187,4,1,Labai,1,https://p.scdn.co/mp3-preview/2c8625e27fed734ddfd1b13e51a4c109a86abb77?cid=774b29d4f13844c495f206cafdad9c86,1,spotify:track:0BJdMnxVxPbhIkkOqUlFFg,dataset,"6ZAsAC5g3ijGHPCstECRkX,1wIPlER7isDabOSJw0bhAk,0SonizLa38tbB4kLIFlXdi,1FcH3hHeVuLnWNZnwQq29l",0bMqrWz11OVKWS9uQgJmEi
0.489,0.506,7,-13.68,0,0.0318,0.202,0.676,0.0916,0.0387,156.775,7eeEtLXBHuAjXoPBYajQT2,459147,4,1,Everywhen,40,https://p.scdn.co/mp3-preview/661959b233e99131597626cea401dd27c14db65f?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:7eeEtLXBHuAjXoPBYajQT2,dataset,6FXMGgJwohJLUSr5nVlf9X,60szvcndZTCqG9E7GSAplB
0.855,0.496,5,-10.572,1,0.0824,0.0778,0.451,0.12,0.947,95.494,4tVhBXOhSlqYCL2IjyoUNu,261827,4,1,Blue Lines - 2012 Mix/Master,54,https://p.scdn.co/mp3-preview/ef34469ca639c568c72fd6ad851628e806f3befc?cid=774b29d4f13844c495f206cafdad9c86,3,spotify:track:4tVhBXOhSlqYCL2IjyoUNu,dataset,6FXMGgJwohJLUSr5nVlf9X,5mAPk4qeNqVLtNydaWbWlf
