7JggdVIipgSShK1uk7N1hP,5NKTuBLCYhN0OwqFiGdXd1,0T5C5nZUcMAqpOSLucDC6n,0ab5JnF8emGteBhcsLQPtz,0bMqrWz11OVKWS9uQgJmEi,4FAAuILSwtbCxMntAyVCRR,4RGZJf1z7kxlOz2mBFw3so,3VvHonnheur0qt4kKUFxbP,640jM4slSZl91IHfX0CiWH,60szvcndZTCqG9E7GSAplB,5mAPk4qeNqVLtNydaWbWlf,5C6579KEvJj9AWaZtjSflC,1C30LhZB9I48LdpVCRRYvq,47xaqCsJcYFWqD1gwujl1T,16BF4fvjjxlzrdKrUl4k5F,1q2ErTOAW7U3cx1LqucD1a,06814vxpRbL5CPMk1CTvOk,7MeDqREJNAU5D80vI2xCol,6J1uOpuz9BCrysnl7hDRSS,5hEpJAnE6SPm4CDnjGt3OL,7At6mG0vv1DWLVuRrRr3S0,0609boj0n6y9QvmgeNcUzr,3yXIkSJWpudtgF0TZuB16U,1pcsWOIF1jxRMaIdRhWHjG,5Azt3sbaFAcOEtWlnOOFyY,6fnEfAgnc4jJtCFnXJasII,7sXufweikTP0DcDSBGwpoD,6C91Sp5eJ1LPEFuSoEf5vw,26qaxSxlPcfjVDYKNxjLQn,7Ct27tNvJQO4HSqDHi7QMQ,6QW0AjRzQmHoUxwT570bJX,5F7t2oVAxnazEU21nbUZGc,6ymZBbRSmzAvoSGmwAFoxm,3hbotlRkYXHeM4TitsgQin,3A1kutvBmC6czSsSv7aR5E,4yyFE9FVXNayzv3v9boKDN,34Pw4aKdO1TVOV74MpTnGb,5uTI2HcpAywDP8Vo1DpJta,0j0djiGxLnBiW7meVc2PER,4PmfGftZJyCJJXfffejrZm,1vz94WpXDVYIEGja8cjFNa,7JOdtLDLyXJIppDRB7kxr9,6qAapBZqjiATXktzwBzzLC,1dZ1YNQiR7LRMkrQydwy40,3AQgdwMNCiN7awXch5fAaG,6ZgM0jM6nRUlK6wRXEONVc,2QjhLePTnaWv2eBUbCwceA,6w5N3oL83KiitLdFcCrzTj,7mHmeFtsjrQ1BZT6d0OruX,4q7ypBFqg35EiCWDbXsK8C,2ZieYINaA8usZhjfwpFnlH,7oL8vgqkkPnoQSmM3hddni,79hWOEtP2YmH9OpL1Aeo4w,20O6GKv8VfyvL4Gy0TAJs7,5La9Xx2vJ84n8yngUVJri2,4Y4DmxtrWFCTPESgZ5qKJe,5yYe4JhfGHiTIPWs2AuoMJ,3Ge479ihnwoh8TAhihr85r,5ckt4gstaOg1VlCqyLtrLT,0YqCvOMhp8enM01an9Nntj
album,album,album,album,album,album,album,album,album,album,album,album,album,album,compilation,album,album,single,single,single,single,album,album,single,single,compilation,album,album,single,album,album,album,album,single,album,album,single,album,album,compilation,album,album,album,album,album,single,album,album,single,single,album,single,album,album,album,album,album,album,album,album
"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4O71i7ke5iIBX6RNSFoZbS'}, 'href': 'https://api.spotify.com/v1/artists/4O71i7ke5iIBX6RNSFoZbS', 'id': '4O71i7ke5iIBX6RNSFoZbS', 'name': 'trentemøller', 'type': 'artist', 'uri': 'spotify:artist:4O71i7ke5iIBX6RNSFoZbS'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1aSxMhuvixZ8h9dK9jIDwL'}, 'href': 'https://api.spotify.com/v1/artists/1aSxMhuvixZ8h9dK9jIDwL', 'id': '1aSxMhuvixZ8h9dK9jIDwL', 'name': 'Kate Bush', 'type': 'artist', 'uri': 'spotify:artist:1aSxMhuvixZ8h9dK9jIDwL'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0bwaKyQeHXTyMkDouMZ9zs'}, 'href': 'https://api.spotify.com/v1/artists/0bwaKyQeHXTyMkDouMZ9zs', 'id': '0bwaKyQeHXTyMkDouMZ9zs', 'name': 'I Barritas', 'type': 'artist', 'uri': 'spotify:artist:0bwaKyQeHXTyMkDouMZ9zs'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1FcH3hHeVuLnWNZnwQq29l'}, 'href': 'https://api.spotify.com/v1/artists/1FcH3hHeVuLnWNZnwQq29l', 'id': '1FcH3hHeVuLnWNZnwQq29l', 'name': 'Arrogalla', 'type': 'artist', 'uri': 'spotify:artist:1FcH3hHeVuLnWNZnwQq29l'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6ZAsAC5g3ijGHPCstECRkX'}, 'href': 'https://api.spotify.com/v1/artists/6ZAsAC5g3ijGHPCstECRkX', 'id': '6ZAsAC5g3ijGHPCstECRkX', 'name': 'Malasorti', 'type': 'artist', 'uri': 'spotify:artist:6ZAsAC5g3ijGHPCstECRkX'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0bwaKyQeHXTyMkDouMZ9zs'}, 'href': 'https://api.spotify.com/v1/artists/0bwaKyQeHXTyMkDouMZ9zs', 'id': '0bwaKyQeHXTyMkDouMZ9zs', 'name': 'I Barritas', 'type': 'artist', 'uri': 'spotify:artist:0bwaKyQeHXTyMkDouMZ9zs'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6pq5tGhCB4WDJ9X3n8HseQ'}, 'href': 'https://api.spotify.com/v1/artists/6pq5tGhCB4WDJ9X3n8HseQ', 'id': '6pq5tGhCB4WDJ9X3n8HseQ', 'name': 'Ministry of Echology', 'type': 'artist', 'uri': 'spotify:artist:6pq5tGhCB4WDJ9X3n8HseQ'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0GDacVSjt9x112n4HVyDue'}, 'href': 'https://api.spotify.com/v1/artists/0GDacVSjt9x112n4HVyDue', 'id': '0GDacVSjt9x112n4HVyDue', 'name': 'Stefano Puddu', 'type': 'artist', 'uri': 'spotify:artist:0GDacVSjt9x112n4HVyDue'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2caOYPej26UoQOyFnzXW3G'}, 'href': 'https://api.spotify.com/v1/artists/2caOYPej26UoQOyFnzXW3G', 'id': '2caOYPej26UoQOyFnzXW3G', 'name': 'Lucio Battisti', 'type': 'artist', 'uri': 'spotify:artist:2caOYPej26UoQOyFnzXW3G'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6FXMGgJwohJLUSr5nVlf9X'}, 'href': 'https://api.spotify.com/v1/artists/6FXMGgJwohJLUSr5nVlf9X', 'id': '6FXMGgJwohJLUSr5nVlf9X', 'name': 'Massive Attack', 'type': 'artist', 'uri': 'spotify:artist:6FXMGgJwohJLUSr5nVlf9X'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6FXMGgJwohJLUSr5nVlf9X'}, 'href': 'https://api.spotify.com/v1/artists/6FXMGgJwohJLUSr5nVlf9X', 'id': '6FXMGgJwohJLUSr5nVlf9X', 'name': 'Massive Attack', 'type': 'artist', 'uri': 'spotify:artist:6FXMGgJwohJLUSr5nVlf9X'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0PFtn5NtBbbUNbU9EAmIWF'}, 'href': 'https://api.spotify.com/v1/artists/0PFtn5NtBbbUNbU9EAmIWF', 'id': '0PFtn5NtBbbUNbU9EAmIWF', 'name': 'TOTO', 'type': 'artist', 'uri': 'spotify:artist:0PFtn5NtBbbUNbU9EAmIWF'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF'}, 'href': 'https://api.spotify.com/v1/artists/0uCCBpmg6MrPb1KY2msceF', 'id': '0uCCBpmg6MrPb1KY2msceF', 'name': 'Burial', 'type': 'artist', 'uri': 'spotify:artist:0uCCBpmg6MrPb1KY2msceF'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb'}, 'href': 'https://api.spotify.com/v1/artists/4Z8W4fKeB5YxbusRsdQVPb', 'id': '4Z8W4fKeB5YxbusRsdQVPb', 'name': 'Radiohead', 'type': 'artist', 'uri': 'spotify:artist:4Z8W4fKeB5YxbusRsdQVPb'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/602DnpaSXJB4b9DZrvxbDc'}, 'href': 'https://api.spotify.com/v1/artists/602DnpaSXJB4b9DZrvxbDc', 'id': '602DnpaSXJB4b9DZrvxbDc', 'name': 'Peggy Lee', 'type': 'artist', 'uri': 'spotify:artist:602DnpaSXJB4b9DZrvxbDc'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/38CPjAAqYV8lTYi6clzbjG'}, 'href': 'https://api.spotify.com/v1/artists/38CPjAAqYV8lTYi6clzbjG', 'id': '38CPjAAqYV8lTYi6clzbjG', 'name': 'Gábor Szabó', 'type': 'artist', 'uri': 'spotify:artist:38CPjAAqYV8lTYi6clzbjG'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2mVVjNmdjXZZDvhgQWiakk'}, 'href': 'https://api.spotify.com/v1/artists/2mVVjNmdjXZZDvhgQWiakk', 'id': '2mVVjNmdjXZZDvhgQWiakk', 'name': 'Khruangbin', 'type': 'artist', 'uri': 'spotify:artist:2mVVjNmdjXZZDvhgQWiakk'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3u9rbdcmA6CxjxOAkjaeFr'}, 'href': 'https://api.spotify.com/v1/artists/3u9rbdcmA6CxjxOAkjaeFr', 'id': '3u9rbdcmA6CxjxOAkjaeFr', 'name': 'KOKOROKO', 'type': 'artist', 'uri': 'spotify:artist:3u9rbdcmA6CxjxOAkjaeFr'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6ap5FlXui4P9SWOKz98o9Z'}, 'href': 'https://api.spotify.com/v1/artists/6ap5FlXui4P9SWOKz98o9Z', 'id': '6ap5FlXui4P9SWOKz98o9Z', 'name': 'Little Pieces of Marmelade', 'type': 'artist', 'uri': 'spotify:artist:6ap5FlXui4P9SWOKz98o9Z'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2mVVjNmdjXZZDvhgQWiakk'}, 'href': 'https://api.spotify.com/v1/artists/2mVVjNmdjXZZDvhgQWiakk', 'id': '2mVVjNmdjXZZDvhgQWiakk', 'name': 'Khruangbin', 'type': 'artist', 'uri': 'spotify:artist:2mVVjNmdjXZZDvhgQWiakk'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2mVVjNmdjXZZDvhgQWiakk'}, 'href': 'https://api.spotify.com/v1/artists/2mVVjNmdjXZZDvhgQWiakk', 'id': '2mVVjNmdjXZZDvhgQWiakk', 'name': 'Khruangbin', 'type': 'artist', 'uri': 'spotify:artist:2mVVjNmdjXZZDvhgQWiakk'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2uxy7shOeojRrRr9EwD2t7'}, 'href': 'https://api.spotify.com/v1/artists/2uxy7shOeojRrRr9EwD2t7', 'id': '2uxy7shOeojRrRr9EwD2t7', 'name': 'Mi Amigo Invencible', 'type': 'artist', 'uri': 'spotify:artist:2uxy7shOeojRrRr9EwD2t7'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2qwi0hBvI2GrbkurOnw3hZ'}, 'href': 'https://api.spotify.com/v1/artists/2qwi0hBvI2GrbkurOnw3hZ', 'id': '2qwi0hBvI2GrbkurOnw3hZ', 'name': 'Skee Mask', 'type': 'artist', 'uri': 'spotify:artist:2qwi0hBvI2GrbkurOnw3hZ'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6lHO1eGthNnos9KP2BH0cG'}, 'href': 'https://api.spotify.com/v1/artists/6lHO1eGthNnos9KP2BH0cG', 'id': '6lHO1eGthNnos9KP2BH0cG', 'name': 'Puma Blue', 'type': 'artist', 'uri': 'spotify:artist:6lHO1eGthNnos9KP2BH0cG'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7yF6JnFPDzgml2Ytkyl5D7'}, 'href': 'https://api.spotify.com/v1/artists/7yF6JnFPDzgml2Ytkyl5D7', 'id': '7yF6JnFPDzgml2Ytkyl5D7', 'name': 'Mall Grab', 'type': 'artist', 'uri': 'spotify:artist:7yF6JnFPDzgml2Ytkyl5D7'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/28Y1hMhuru402KjzFJDegi'}, 'href': 'https://api.spotify.com/v1/artists/28Y1hMhuru402KjzFJDegi', 'id': '28Y1hMhuru402KjzFJDegi', 'name': 'Damiano von Erckert', 'type': 'artist', 'uri': 'spotify:artist:28Y1hMhuru402KjzFJDegi'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of'}, 'href': 'https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of', 'id': '0LyfQWJT6nXafLPZqxe9Of', 'name': 'Various Artists', 'type': 'artist', 'uri': 'spotify:artist:0LyfQWJT6nXafLPZqxe9Of'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4ZbsxiS90Pj1gLeDv3A9mN'}, 'href': 'https://api.spotify.com/v1/artists/4ZbsxiS90Pj1gLeDv3A9mN', 'id': '4ZbsxiS90Pj1gLeDv3A9mN', 'name': 'Lùnapop', 'type': 'artist', 'uri': 'spotify:artist:4ZbsxiS90Pj1gLeDv3A9mN'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2caOYPej26UoQOyFnzXW3G'}, 'href': 'https://api.spotify.com/v1/artists/2caOYPej26UoQOyFnzXW3G', 'id': '2caOYPej26UoQOyFnzXW3G', 'name': 'Lucio Battisti', 'type': 'artist', 'uri': 'spotify:artist:2caOYPej26UoQOyFnzXW3G'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1VPmR4DJC1PlOtd0IADAO0'}, 'href': 'https://api.spotify.com/v1/artists/1VPmR4DJC1PlOtd0IADAO0', 'id': '1VPmR4DJC1PlOtd0IADAO0', 'name': '$uicideBoy$', 'type': 'artist', 'uri': 'spotify:artist:1VPmR4DJC1PlOtd0IADAO0'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4Oov8BULUOBiX6UVpP04JW'}, 'href': 'https://api.spotify.com/v1/artists/4Oov8BULUOBiX6UVpP04JW', 'id': '4Oov8BULUOBiX6UVpP04JW', 'name': 'GUM', 'type': 'artist', 'uri': 'spotify:artist:4Oov8BULUOBiX6UVpP04JW'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5Uy8Skuxzxf38jMDTndKIU'}, 'href': 'https://api.spotify.com/v1/artists/5Uy8Skuxzxf38jMDTndKIU', 'id': '5Uy8Skuxzxf38jMDTndKIU', 'name': 'Populous', 'type': 'artist', 'uri': 'spotify:artist:5Uy8Skuxzxf38jMDTndKIU'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7EFB09NxZrMi9pGlOnuBpd'}, 'href': 'https://api.spotify.com/v1/artists/7EFB09NxZrMi9pGlOnuBpd', 'id': '7EFB09NxZrMi9pGlOnuBpd', 'name': 'The Horrors', 'type': 'artist', 'uri': 'spotify:artist:7EFB09NxZrMi9pGlOnuBpd'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT'}, 'href': 'https://api.spotify.com/v1/artists/6zvul52xwTWzilBZl6BUbT', 'id': '6zvul52xwTWzilBZl6BUbT', 'name': 'Pixies', 'type': 'artist', 'uri': 'spotify:artist:6zvul52xwTWzilBZl6BUbT'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0uCCBpmg6MrPb1KY2msceF'}, 'href': 'https://api.spotify.com/v1/artists/0uCCBpmg6MrPb1KY2msceF', 'id': '0uCCBpmg6MrPb1KY2msceF', 'name': 'Burial', 'type': 'artist', 'uri': 'spotify:artist:0uCCBpmg6MrPb1KY2msceF'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4IeWU3NYBI9mISFVhzXG8f'}, 'href': 'https://api.spotify.com/v1/artists/4IeWU3NYBI9mISFVhzXG8f', 'id': '4IeWU3NYBI9mISFVhzXG8f', 'name': 'shame', 'type': 'artist', 'uri': 'spotify:artist:4IeWU3NYBI9mISFVhzXG8f'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7EFB09NxZrMi9pGlOnuBpd'}, 'href': 'https://api.spotify.com/v1/artists/7EFB09NxZrMi9pGlOnuBpd', 'id': '7EFB09NxZrMi9pGlOnuBpd', 'name': 'The Horrors', 'type': 'artist', 'uri': 'spotify:artist:7EFB09NxZrMi9pGlOnuBpd'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3t7NdpIbIprOtDChVJ94DP'}, 'href': 'https://api.spotify.com/v1/artists/3t7NdpIbIprOtDChVJ94DP', 'id': '3t7NdpIbIprOtDChVJ94DP', 'name': 'cmqmartina', 'type': 'artist', 'uri': 'spotify:artist:3t7NdpIbIprOtDChVJ94DP'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/23NIwARd4vPbxt3wwNnJ6k'}, 'href': 'https://api.spotify.com/v1/artists/23NIwARd4vPbxt3wwNnJ6k', 'id': '23NIwARd4vPbxt3wwNnJ6k', 'name': 'Parquet Courts', 'type': 'artist', 'uri': 'spotify:artist:23NIwARd4vPbxt3wwNnJ6k'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3C8RpaI3Go0yFF9whvKoED'}, 'href': 'https://api.spotify.com/v1/artists/3C8RpaI3Go0yFF9whvKoED', 'id': '3C8RpaI3Go0yFF9whvKoED', 'name': 'The Avalanches', 'type': 'artist', 'uri': 'spotify:artist:3C8RpaI3Go0yFF9whvKoED'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1N2FgBLehaq77UEdJhCt7f'}, 'href': 'https://api.spotify.com/v1/artists/1N2FgBLehaq77UEdJhCt7f', 'id': '1N2FgBLehaq77UEdJhCt7f', 'name': 'Saint Etienne', 'type': 'artist', 'uri': 'spotify:artist:1N2FgBLehaq77UEdJhCt7f'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5hW4L92KnC6dX9t7tYM4Ve'}, 'href': 'https://api.spotify.com/v1/artists/5hW4L92KnC6dX9t7tYM4Ve', 'id': '5hW4L92KnC6dX9t7tYM4Ve', 'name': 'Joni Mitchell', 'type': 'artist', 'uri': 'spotify:artist:5hW4L92KnC6dX9t7tYM4Ve'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5hW4L92KnC6dX9t7tYM4Ve'}, 'href': 'https://api.spotify.com/v1/artists/5hW4L92KnC6dX9t7tYM4Ve', 'id': '5hW4L92KnC6dX9t7tYM4Ve', 'name': 'Joni Mitchell', 'type': 'artist', 'uri': 'spotify:artist:5hW4L92KnC6dX9t7tYM4Ve'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0VitAFMCI2apQxKzDjg1PU'}, 'href': 'https://api.spotify.com/v1/artists/0VitAFMCI2apQxKzDjg1PU', 'id': '0VitAFMCI2apQxKzDjg1PU', 'name': 'BLOODY VINYL', 'type': 'artist', 'uri': 'spotify:artist:0VitAFMCI2apQxKzDjg1PU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/2KXYAKQTxHuUHDtVgeGn6w'}, 'href': 'https://api.spotify.com/v1/artists/2KXYAKQTxHuUHDtVgeGn6w', 'id': '2KXYAKQTxHuUHDtVgeGn6w', 'name': 'Slait', 'type': 'artist', 'uri': 'spotify:artist:2KXYAKQTxHuUHDtVgeGn6w'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/38CPjAAqYV8lTYi6clzbjG'}, 'href': 'https://api.spotify.com/v1/artists/38CPjAAqYV8lTYi6clzbjG', 'id': '38CPjAAqYV8lTYi6clzbjG', 'name': 'Gábor Szabó', 'type': 'artist', 'uri': 'spotify:artist:38CPjAAqYV8lTYi6clzbjG'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2x9SpqnPi8rlE9pjHBwmSC'}, 'href': 'https://api.spotify.com/v1/artists/2x9SpqnPi8rlE9pjHBwmSC', 'id': '2x9SpqnPi8rlE9pjHBwmSC', 'name': 'Talking Heads', 'type': 'artist', 'uri': 'spotify:artist:2x9SpqnPi8rlE9pjHBwmSC'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/73A3bLnfnz5BoQjb4gNCga'}, 'href': 'https://api.spotify.com/v1/artists/73A3bLnfnz5BoQjb4gNCga', 'id': '73A3bLnfnz5BoQjb4gNCga', 'name': 'Bicep', 'type': 'artist', 'uri': 'spotify:artist:73A3bLnfnz5BoQjb4gNCga'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0wwBxT2qVH327KlBJbwMEP'}, 'href': 'https://api.spotify.com/v1/artists/0wwBxT2qVH327KlBJbwMEP', 'id': '0wwBxT2qVH327KlBJbwMEP', 'name': 'The Frightnrs', 'type': 'artist', 'uri': 'spotify:artist:0wwBxT2qVH327KlBJbwMEP'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4rfE3kN2zKNC9L9tt3iVOg'}, 'href': 'https://api.spotify.com/v1/artists/4rfE3kN2zKNC9L9tt3iVOg', 'id': '4rfE3kN2zKNC9L9tt3iVOg', 'name': 'Ron Gallo', 'type': 'artist', 'uri': 'spotify:artist:4rfE3kN2zKNC9L9tt3iVOg'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/60yfafz0P3gqaUaOUIddae'}, 'href': 'https://api.spotify.com/v1/artists/60yfafz0P3gqaUaOUIddae', 'id': '60yfafz0P3gqaUaOUIddae', 'name': 'BRONSON', 'type': 'artist', 'uri': 'spotify:artist:60yfafz0P3gqaUaOUIddae'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1ChtRJ3f4rbv4vtz87i6CD'}, 'href': 'https://api.spotify.com/v1/artists/1ChtRJ3f4rbv4vtz87i6CD', 'id': '1ChtRJ3f4rbv4vtz87i6CD', 'name': 'Cassian', 'type': 'artist', 'uri': 'spotify:artist:1ChtRJ3f4rbv4vtz87i6CD'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2SrWifjYv7b5tR8EzEmn1x'}, 'href': 'https://api.spotify.com/v1/artists/2SrWifjYv7b5tR8EzEmn1x', 'id': '2SrWifjYv7b5tR8EzEmn1x', 'name': 'Golden Features', 'type': 'artist', 'uri': 'spotify:artist:2SrWifjYv7b5tR8EzEmn1x'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3fZgTHf9UHEA1oLYLEhnk2'}, 'href': 'https://api.spotify.com/v1/artists/3fZgTHf9UHEA1oLYLEhnk2', 'id': '3fZgTHf9UHEA1oLYLEhnk2', 'name': 'The Mouse Outfit', 'type': 'artist', 'uri': 'spotify:artist:3fZgTHf9UHEA1oLYLEhnk2'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5I0593TTVPzkanWW8xsTns'}, 'href': 'https://api.spotify.com/v1/artists/5I0593TTVPzkanWW8xsTns', 'id': '5I0593TTVPzkanWW8xsTns', 'name': 'Lunice', 'type': 'artist', 'uri': 'spotify:artist:5I0593TTVPzkanWW8xsTns'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6wq0ypfSKR1Baqi4qoJWsq'}, 'href': 'https://api.spotify.com/v1/artists/6wq0ypfSKR1Baqi4qoJWsq', 'id': '6wq0ypfSKR1Baqi4qoJWsq', 'name': 'Jazz Liberatorz', 'type': 'artist', 'uri': 'spotify:artist:6wq0ypfSKR1Baqi4qoJWsq'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/75mafsNqNE1WSEVxIKuY5C'}, 'href': 'https://api.spotify.com/v1/artists/75mafsNqNE1WSEVxIKuY5C', 'id': '75mafsNqNE1WSEVxIKuY5C', 'name': 'IDLES', 'type': 'artist', 'uri': 'spotify:artist:75mafsNqNE1WSEVxIKuY5C'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3Gaqw2nGyE7yM3rcRSzE3U'}, 'href': 'https://api.spotify.com/v1/artists/3Gaqw2nGyE7yM3rcRSzE3U', 'id': '3Gaqw2nGyE7yM3rcRSzE3U', 'name': 'Yppah', 'type': 'artist', 'uri': 'spotify:artist:3Gaqw2nGyE7yM3rcRSzE3U'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6HzVTgf7SWVWNo93bT5TEv'}, 'href': 'https://api.spotify.com/v1/artists/6HzVTgf7SWVWNo93bT5TEv', 'id': '6HzVTgf7SWVWNo93bT5TEv', 'name': 'The Architect', 'type': 'artist', 'uri': 'spotify:artist:6HzVTgf7SWVWNo93bT5TEv'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/38CPjAAqYV8lTYi6clzbjG'}, 'href': 'https://api.spotify.com/v1/artists/38CPjAAqYV8lTYi6clzbjG', 'id': '38CPjAAqYV8lTYi6clzbjG', 'name': 'Gábor Szabó', 'type': 'artist', 'uri': 'spotify:artist:38CPjAAqYV8lTYi6clzbjG'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0UTbeMH3r0QJB50wYA4VTE'}, 'href': 'https://api.spotify.com/v1/artists/0UTbeMH3r0QJB50wYA4VTE', 'id': '0UTbeMH3r0QJB50wYA4VTE', 'name': 'Norman Jay MBE', 'type': 'artist', 'uri': 'spotify:artist:0UTbeMH3r0QJB50wYA4VTE'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/484sZUYmnRXN84zmk3GY1n'}, 'href': 'https://api.spotify.com/v1/artists/484sZUYmnRXN84zmk3GY1n', 'id': '484sZUYmnRXN84zmk3GY1n', 'name': 'St Germain', 'type': 'artist', 'uri': 'spotify:artist:484sZUYmnRXN84zmk3GY1n'}]","[{'external_urls': {'spotify': 'https://open.spotify.com/artist/484sZUYmnRXN84zmk3GY1n'}, 'href': 'https://api.spotify.com/v1/artists/484sZUYmnRXN84zmk3GY1n', 'id': '484sZUYmnRXN84zmk3GY1n', 'name': 'St Germain', 'type': 'artist', 'uri': 'spotify:artist:484sZUYmnRXN84zmk3GY1n'}]"
