acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,speechiness,tempo,time_signature,track_number,valence
0.0126,56TjDT1dccqacRULMTLqSh,5KnZcpjculBVZ7Y8SkJuU5,0.694,1,375536,0.835,5aPg0uLBzFTIzUsxtuClvZ,0.872,7,0.11,-8.989,1,Response,000 - HOT // WAITING ROOM,0,0.0515,124.004,4,1,0.258
0.00228,71OyKSCFX7DGsJc6qAhhQG,2P560DaOMNDUACoH8ZhOCR,0.542,1,173320,0.91,0gdmDP6xy3ZV7JNoHWAN9k,0.00524,7,0.0686,-8.924,1,Town Called Malice,000 - HOT // WAITING ROOM,68,0.0873,101.774,4,10,0.775
0.22,365ETCJBUmEWroc4UGBS1u,4GvOygVQquMaPm8oAc0vXi,0.702,1,253467,0.848,312A8WfROSLvZbMDHBUPDp,0.0,6,0.0222,-1.714,1,Fit but You Know It,000 - HOT // WAITING ROOM,60,0.3,172.125,4,7,0.883
0.422,0yTmT1i6yHb5EVyJOmIwGw,"5yXAFDZNUNyO92l5WTImkO,2QoU3awHVdcHS8LrZEKvSM",0.622,1,298533,0.736,38paDDziQ57k1f4VfKTeGk,1.18e-05,9,0.0829,-9.229,1,California Stars,000 - HOT // WAITING ROOM,62,0.0292,110.24,4,2,0.723
0.94,5JJ779nrbHx0KB2lBrMMa4,3rxeQlsv0Sc2nyYaZ5W71T,0.532,1,201440,0.0657,0F845nujLVqCb0XMZCh5Pc,0.00488,0,0.0946,-19.136,0,I Fall In Love Too Easily - Vocal Version,000 - HOT // WAITING ROOM,66,0.0406,128.607,4,13,0.292
0.00221,5F7t2oVAxnazEU21nbUZGc,7EFB09NxZrMi9pGlOnuBpd,0.626,1,400042,0.725,3iyfg1RwpatVcqfMshEplN,0.686,0,0.116,-8.394,1,Something To Remember Me By,000 - HOT // WAITING ROOM,52,0.0285,121.017,4,10,0.522
0.817,1Z2jkEtW5Sc9wWVxUgyG0E,7MSUfLeTdDEoZiJPDSBXgi,0.189,1,238773,0.343,50mL6pbI0uI6YX1xbSer7g,0.916,4,0.0924,-20.314,1,Deep Blue Day - Remastered 2005,000 - HOT // WAITING ROOM,52,0.0453,141.659,4,9,0.0834
0.00157,1sIOFZNoxnybef3xu0n00M,5EmT8U3SucK9KYXbVEdu5K,0.214,1,264437,0.844,5q62vMPnP2Lp3ufsFtT8iN,0.834,0,0.512,-3.403,1,Daily Routine,000 - HOT // WAITING ROOM,35,0.0415,107.562,4,1,0.353
0.00148,5AIYivFGQ03gr1yI2Bw4RQ,5AtDmi8GUJRoTEBJO5RXvZ,0.417,1,214733,0.777,7nv9kqnYBPMNcUWEhJfOyD,0.00141,5,0.57,-4.848,1,Waving Past Nirvana,000 - HOT // WAITING ROOM,14,0.0375,99.992,4,1,0.385
0.0522,1oB5ZBHUwIgsHTRSzRifDx,"7Eu1txygG6nJttLHbZdQOh,2wPDbhaGXCqROrVmwDdCrK",0.41,1,242000,0.67,0nBucamQ9LLOk6p8bhNQO5,0.869,7,0.159,-9.418,1,Evening Side - Oneohtrix Point Never Edit,000 - HOT // WAITING ROOM,38,0.146,119.975,4,1,0.179
0.58,7dnlyE1XLw84eNn4UJSU0j,"0h71X1g6FJuanP96HHvGmg,5gdvIKIFREcJmy3LV6yhBh,7CqUn7HsQQ3OrCyMvBnwRS",0.324,1,758802,0.405,6CCEAanczgKqsVi1pskvNs,0.901,7,0.0943,-18.465,1,Música Esporádica,000 - HOT // WAITING ROOM,20,0.0426,106.028,4,1,0.368
0.834,4LQdy7J9r1cYvztXpB6kui,4tgLAVoK5kakO3R2bqcW9d,0.744,1,245984,0.334,64McazRKf3hgl3v523Qn2K,0.39,3,0.306,-10.882,0,Don't Be Mad - Original Mix,000 - HOT // WAITING ROOM,1,0.223,117.928,4,3,0.605
0.0637,1Z0MIX0ibnam6aVJDUz1LQ,2JoBokvK0ms4X8Gx7uzsaH,0.749,1,209709,0.608,6mvOHxcPWwE7uO9xONSUSb,0.777,6,0.0568,-7.155,0,Mabrouk Mabrouk,000 - HOT // WAITING ROOM,7,0.0706,103.003,4,1,0.881
