album,album_id,artist,artists_id,disc_number,name,playlist,playlist_id,popularity,preview_url,track_number,uri
Prender el Alma,7Mz3hUKPxQMZco25qZ6sQF,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn,1,Colibria,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,53,https://p.scdn.co/mp3-preview/001707a8bda5207a27d638ff03b5cd0924e12c41?cid=e6971699b1de430f8161d4093d1d0d09,6,spotify:track:4mrkRBRhahbgcfimPihZVN
El Origen,0wOHl1sUUJ5fw2YLCClpyr,Rodrigo Gallardo,3fxdn6mfKvNFJ1Zx37On7W AND 1oXdrffaOVmxTsY90wSmbF,1,Maria Sabina,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,39,https://p.scdn.co/mp3-preview/f2ddf5cc9735b2a37200e9290535bdf1a4df83cb?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:3Gy7zGBqXRp6MAlx5wXQgB
Significant Others,3LPOvF8M3DijXowBs1MdDr,Nicolas Jaar,5a0etAzO5V26gvlbmHzT9W,1,El Bandido,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,57,https://p.scdn.co/mp3-preview/7ed3e4b3649fa080f8d8eadb01f46058fde7e4cb?cid=e6971699b1de430f8161d4093d1d0d09,3,spotify:track:0YQznyH9mJn6UTwWFHqy4b
Sirens,2EvZiOMBlC9b5hbjbZCjZv,Nicolas Jaar,5a0etAzO5V26gvlbmHzT9W,1,No,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,53,https://p.scdn.co/mp3-preview/c5a84debcec700e7c32d76cbb78ecdc813ac3305?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:1fhIOXvolJoR1cIbS6ryyp
"Deja Vu, Vol. 1",0HntmvvabhcZAMeZZ8VMlP,Nicolas Jaar,5a0etAzO5V26gvlbmHzT9W,1,Mi Mujer - ’17 Remastered Edit,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,14,https://p.scdn.co/mp3-preview/33e588cfa0b94a5d17e095fd90b9edf086d188a6?cid=e6971699b1de430f8161d4093d1d0d09,14,spotify:track:0wGMIUnEr6JIHXG9zFOShS
Prender el Alma,7Mz3hUKPxQMZco25qZ6sQF,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn AND 1oXdrffaOVmxTsY90wSmbF,1,Equinoccio,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,45,https://p.scdn.co/mp3-preview/aa126cced777d5f6f47e523b8638cfd2c03aacfa?cid=e6971699b1de430f8161d4093d1d0d09,8,spotify:track:0PKpSJUTYOT2EdWIhkDi01
Cenotes,7yxXs09QqG9iq1Mk6dsK5O,El Búho,1I7FVmvisCtSFzmm87mbLR,1,Manana Tepotzlan,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,56,https://p.scdn.co/mp3-preview/8fe8c8d35c09b950a800ae00a4cba708dea1c0c4?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:73myc2rii2DVG3HpTkGOnl
Cosmic Waves,7iDSk8ynLZB3oEGFnYpn07,Robot Koch,47V6nyjOrUR98qv6gkYssI,1,Follow Birds,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,8,https://p.scdn.co/mp3-preview/dac268a6e2e1954a34aab691353d54b63b115804?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:7FSDp0tqxA50yuMAOWggWL
Karma / Gueto De Gent,4NjCGfP3nJ32GJBi9A5Ng7,Phillipi & Rodrigo,6XaCe40GiIt7ujxQvfmvsp,1,Gueto de Gent,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,42,https://p.scdn.co/mp3-preview/24346a392e448c47dd315c25ed56ef5ceccb8a63?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:0oR9XRneKUIefSfy5y0IJ8
Azulejos,226Q18LiqN0AXNR2AziLbJ,Populous,5Uy8Skuxzxf38jMDTndKIU AND 4rdJkXHNrMgowlwUdQAg8T,1,Azul Oro,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,25,https://p.scdn.co/mp3-preview/7c66c9f05f9b7c7efe49b7e96ce072401b1f8201?cid=e6971699b1de430f8161d4093d1d0d09,3,spotify:track:3RpZI5WtSMr65hXMprVERn
Tributaries: A Remix Album (El Búho Remixes),05SkQ3cqcaIaP4Oo5N9r4i,Populous,5Uy8Skuxzxf38jMDTndKIU AND 1I7FVmvisCtSFzmm87mbLR,1,Alala - El Búho Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,27,https://p.scdn.co/mp3-preview/f1856d40fa95b7a6e55084f2b7fbbb6f7f7b2381?cid=e6971699b1de430f8161d4093d1d0d09,6,spotify:track:4wt26JSP0zVor9MCBcq3p4
Indoor Voyager EP,29wjqxriGDiYH1kFs4njxY,Oceanvs Orientalis,3gNEIgLeknpwkNViU8WAhg AND 0OltT51j3hIkgaDJqqPzDn,1,Tarlabasi - Nicola Cruz Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,23,https://p.scdn.co/mp3-preview/e52a6d9b270f3fd53d158157649a2d5fe5872824?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:0RUgqD8jiepLsHbx1jaaMV
Migration,2T64N96AVfsrRFJCUXQEoZ,Bonobo,0cmWgDlu9CwTgxPhf403hb AND 6FUsQ3dkSd27KwQ1iCugSV,1,Bambro Koyo Ganda,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,58,https://p.scdn.co/mp3-preview/b6a27e42e030bda246c71e6bd794ea07bdb6dacf?cid=e6971699b1de430f8161d4093d1d0d09,7,spotify:track:5EGJ7e7frJjYja6H4afzoT
Los Ángeles,1vKoozkUisDPH7Jkg7NnDL,Mitú,3OlI3HjAc1LQUmd7wozF6k,1,Neko,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,22,https://p.scdn.co/mp3-preview/dbefe79b3e9209e282d4723eced90c692c1c2974?cid=e6971699b1de430f8161d4093d1d0d09,3,spotify:track:3Fuz4z2P9YiMffbU7lkD4l
Battle Lines [Remixed],1rVRWqock6arU9LRN0jHgK,Bob Moses,6LHsnRBUYhFyt01PdKXAF5 AND 0evBopfnhhbHzmHebWTDx7,1,Back Down - Jonas Rathsman Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,21,https://p.scdn.co/mp3-preview/6fe39a74f7695522a8af16ceff23d58b0e5a4e61?cid=e6971699b1de430f8161d4093d1d0d09,7,spotify:track:26F3gKJIxsyt5ogSiUSFEU
Sol y Luna,0q0JtFDTRMuS0FzsVWRVzv,Alef,3AXR0vckCgEwDz8jXHkcvK,1,Sol,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,52,https://p.scdn.co/mp3-preview/ee795bb1a59dff800a22f7ee847cf4caaa8eb544?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:4FlR74PQh9SUnxDyFkoK1a
Inversions,6q7Lbo9YK1gZ0Goo8YJkwj,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn AND 1uwIzl6et4DJg5lbmyMW0g,1,Tzantza - Matanza Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,26,https://p.scdn.co/mp3-preview/3008a0892896e6d1d51856ab360b3acd33e4869c?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:5CvXgeQ0qvPZymhzdovYGD
Nyiduonge Drums,1brc8d6J9AUnNpiY1FvjEs,Owiny Sigoma Band,1C5MZsDbfzAMgDg0mOxCdY,1,Nyiduonge Drums,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,32,https://p.scdn.co/mp3-preview/4022f6288df6f302750a2598635edb732834c4e6?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:1acFWHMOVQmMLxArojUxCZ
Cosmotronic,5gETVCPK8LmShTm4L5plOc,Cosmo,09LxneoTmRpuN3Jp8Ut4EX,1,L'amore,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,44,https://p.scdn.co/mp3-preview/50536c4b5bc1166a32354bae13a651845776f519?cid=e6971699b1de430f8161d4093d1d0d09,6,spotify:track:1tF3VLbEhtSJK0KN04G6iV
Be Mine (Throwing Snow Remix),5MkEjlDIGvNGqoTBDLA4ev,Tusks,2JexLbBGkh1FnSWF1uoehP AND 0Qur5LqqAVVunjY2PnjhUp,1,Be Mine - Throwing Snow Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,5,,1,spotify:track:7wQRkOTY7EOSa7spsgDQ9c
Cosmotronic,5gETVCPK8LmShTm4L5plOc,Cosmo,09LxneoTmRpuN3Jp8Ut4EX,2,5 antimeridiane,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,22,https://p.scdn.co/mp3-preview/105eec99de530fa0808422bec77b85f062a661a7?cid=e6971699b1de430f8161d4093d1d0d09,5,spotify:track:1C4sdKE2fBhvpQtuIte6Ab
Movimento,33E3nbaZSGWg8pcYYctxvX,Carrot Green,56LbkVrwiOOlCLoIPVeEhY AND 3jSvMIKT2Eo5mNvYN9ownN,1,Movimento - Noema's Luzes da Cidade Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,13,https://p.scdn.co/mp3-preview/b5f2a15dfc14fabfa7c4beb2a025fb72355a62e9?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:176U53VqK3no9NhQUPHoPL
Currents B-Sides & Remixes,04uXkrNhFJ1iWEo88MGPva,Tame Impala,5INjqkS1o8h1imAzPqGZBb AND 4Oov8BULUOBiX6UVpP04JW,1,Reality In Motion - GUM Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,39,,4,spotify:track:6aFxp3szJUOyI8MSDBKbFB
Prender el Alma,7Mz3hUKPxQMZco25qZ6sQF,Nicola Cruz,0OltT51j3hIkgaDJqqPzDn,1,Cumbia del Olvido,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,64,https://p.scdn.co/mp3-preview/3838c67cf1cef08b8c1771531d08d9033679a09c?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:6qINThmTDYBm8twguFRueG
Cosmotronic,5gETVCPK8LmShTm4L5plOc,Cosmo,09LxneoTmRpuN3Jp8Ut4EX,1,Ho vinto,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,34,https://p.scdn.co/mp3-preview/7f412fa210e93f5d08905fd5131d1cc4c6c68ea6?cid=e6971699b1de430f8161d4093d1d0d09,9,spotify:track:59JGpUIrWjzqKt4R8YGdCI
Kasambila,4PQrenXKw4u8kuPvH4fI3W,Stavroz,7su1fG75ZwXHA6ei9Zcy7T,1,Perron 11,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,31,https://p.scdn.co/mp3-preview/937ffde04808b6781d7896965c72d78faa2ccadd?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:4s799uVMwPaoj53LY6l365
Kasambila,4PQrenXKw4u8kuPvH4fI3W,Stavroz,7su1fG75ZwXHA6ei9Zcy7T,1,XS PLS,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,29,https://p.scdn.co/mp3-preview/044df53d91ebe4538ccfa24fa14b1fc16257c4f3?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:7mnzEcaNC5S0VQZkGeDnI9
Take Flight,0d6ky7EGJ0DBxCsSR9R5SR,Maya Jane Coles,6TshTCYwh9ySzOO6Jy4Ux2,1,Blackout,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,23,https://p.scdn.co/mp3-preview/658639a14153b397170a0fee5131e0f1adce4891?cid=e6971699b1de430f8161d4093d1d0d09,7,spotify:track:3MENfQT8Ezlbo66tw2vTOm
Microchip temporale,12oefbk3bd0IhHOw7DJqhq,Subsonica,7DzxfMQ3VNYR5vw2UFjzSK AND 09LxneoTmRpuN3Jp8Ut4EX,1,Disco labirinto - feat. Cosmo,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,40,https://p.scdn.co/mp3-preview/38c1fb5408e51a9600056449e54fa524880c3248?cid=e6971699b1de430f8161d4093d1d0d09,9,spotify:track:2ROvjto4euoyu8zbzpOw8p
Inevitable Ending,6s6K1UwwPh6lgmhLCQxv5s,Armen Miran,4qxDuHrnTYQkihZiJYLWdy AND 6rdTxNwQhUJTodUx7voWXO,1,Aldebaran - Original,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,52,https://p.scdn.co/mp3-preview/ffe744b526b7e6ba009aa501da6c204c1cf98e13?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:6T6prTkN0PgnGPdW7lZ7Jv
Flauta EP,1if27g4UIZ8Vi0U4oeU5ab,OC & Verde,6wdPgZR2SnhEJ6DJ8L37lc,1,Gitarra - Original Mix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,7,https://p.scdn.co/mp3-preview/8ac683a65cc05d810235f1a0b579c6821f797938?cid=e6971699b1de430f8161d4093d1d0d09,2,spotify:track:4xSdMJ0sX6HmDDtCdreo0Z
Take Flight,0d6ky7EGJ0DBxCsSR9R5SR,Maya Jane Coles,6TshTCYwh9ySzOO6Jy4Ux2,2,Cherry Bomb,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,28,https://p.scdn.co/mp3-preview/d53362c46b74db2ecd9bc787f151e2b92de6c482?cid=e6971699b1de430f8161d4093d1d0d09,4,spotify:track:1niDimYPcqcRffO28YC9mO
Talabout,62iohnnT89r2oefahHfoqQ,Stavroz,7su1fG75ZwXHA6ei9Zcy7T,1,Merci éclair,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,39,,4,spotify:track:2YdVRrBe4q8RvflwV0l9rF
All Back to the Mine: Volume I - A Collection of Remixes,2ugGAPGRIhvfTpnXUntZyW,Moloko,4aaBjq7VqqQvpSF69GglvO AND 0zdn1nNmOZXHZ9K28FvcFp,1,Sing It Back - Herbert's Tasteful Dub,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,41,https://p.scdn.co/mp3-preview/f5c0f5c7a6bdd3830e585eadeabfd640e7ddb772?cid=e6971699b1de430f8161d4093d1d0d09,22,spotify:track:0TV9tmsVhPCSkjYDRnzHSX
Swim,198uSF0lTPBy7PtflbPhGT,Caribou,4aEnNH9PuU1HF3TsZTru54,1,Odessa,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,60,https://p.scdn.co/mp3-preview/a39f8a70a8d3ab50e16094e6a8c927600720ae19?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:305tGJy16yTTFe6Ya9nMKJ
Tu Conmigo (feat. La Bien Querida),07F9Ii8Fzr6ZRmtI4i9ZjN,Vitalic,4M84umUNRbZy1mJleyyRM9 AND 0Wn7tfH4rhaWTn8aMqSgh6,1,Tu Conmigo (feat. La Bien Querida),Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,33,https://p.scdn.co/mp3-preview/41f9d6b8f1e39c96f3740d6129073dcbe8be77f3?cid=e6971699b1de430f8161d4093d1d0d09,1,spotify:track:1iwlcuUPrXcK69pZf1Ll6b
TKOL RMX 1234567,47xaqCsJcYFWqD1gwujl1T,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,1,Good Evening Mrs Magpie (Modeselektor RMX),Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,0,,15,spotify:track:0tKuiKb2mazZYdA6fPP7kI
Swim Remixes,1hBi0CR89FPzDUIEhIOtZM,Caribou,4aEnNH9PuU1HF3TsZTru54 AND 1kR99O4MgSTasyeJh8UFCg,1,Odessa - DJ Koze's Campfire,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,10,https://p.scdn.co/mp3-preview/9aca313665c9086afd4348b9377d45bd44e5a09e?cid=e6971699b1de430f8161d4093d1d0d09,15,spotify:track:5mIdtUqyhB0bKCZZSYzClk
Blood Remixed,1AvkRISSdzC7cq7eLoS5w1,Rhye,2AcUPzkVWo81vumdzeLLRN AND 5szdY7KaSi7epwyffrbV8c,1,Feel Your Weight - Poolside Remix,Tiki Bunker,5gnXcV3VtWBZH47UDKhKMC,68,,4,spotify:track:1hgX0ZmmP7IRRjUFCIBrnQ
