acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.984,3qAaQWNHz3Iu23xk7xeaua,"726Y8qhG13nXVntQ85dQ4c,5lRVe4YjX70hurTNtjek0f",0.135,1,363727,0.221,6sUJrQSilFBRBFKlmq0Gnf,0.932,5,0.0856,-14.343,1,Lupine,The Sound of Everything,14,https://p.scdn.co/mp3-preview/532bc9a592483cd5fe9550840eb3017b727cbb8c?cid=774b29d4f13844c495f206cafdad9c86,0.035,65.228,4,2,spotify:track:6sUJrQSilFBRBFKlmq0Gnf,0.0347
0.417,3NgdAeFdTGYEsFqzqiI10O,5ge9YDw6vooNaGcXGKTaPn,0.539,1,158307,0.888,00iwom2ONo0LvxvRkeXQdD,0.0169,9,0.0822,-2.614,1,Rue Championnet,The Sound of Everything,27,https://p.scdn.co/mp3-preview/e916382d690a77ac905dbdef068f7b8238af9210?cid=774b29d4f13844c495f206cafdad9c86,0.0578,187.702,3,2,spotify:track:00iwom2ONo0LvxvRkeXQdD,0.822
0.706,6xkpSZA1I5GGQ706McVrCr,"2ou5vHf8Vp1ru210N1fi5F,3YbvJxUxRDaLxoe7K5nPV8,1Zz0qtkLEAJvEmi3w6QKRO",0.443,1,183107,0.296,5gzv7hDtrahHurHcYQF41l,0.168,4,0.207,-10.828,0,Sous le ciel de Paris,The Sound of Everything,40,https://p.scdn.co/mp3-preview/42fccb75c4e9d8ef98e6f2ded70786360c69cd6f?cid=774b29d4f13844c495f206cafdad9c86,0.0419,99.959,1,14,spotify:track:5gzv7hDtrahHurHcYQF41l,0.596
0.0681,3qcIddqx4v69RvwyY5hfSH,0dRiUTGvNV17AMIULRYsvn,0.767,1,430576,0.686,6AvtRMA6AzFNYZ3qEMYpch,0.91,7,0.111,-10.476,1,Mystery Of Love,The Sound of Everything,48,https://p.scdn.co/mp3-preview/ffb3904abc64039fe88ba567b4847a7f616e5e29?cid=774b29d4f13844c495f206cafdad9c86,0.0461,114.07,4,11,spotify:track:6AvtRMA6AzFNYZ3qEMYpch,0.565
0.387,28hMJ7aimprzfRpgvE4yML,5Xne33FZ09XOBOG2Kg1Ser,0.66,1,321112,0.736,6rFCSylpc7uX3lGDLVdtP3,0.885,0,0.119,-7.768,0,Swurlk (snarlfingercroak mix),The Sound of Everything,21,https://p.scdn.co/mp3-preview/4c39dc3efec416c4c0b64ea72b0bca9446e492b3?cid=774b29d4f13844c495f206cafdad9c86,0.0355,139.998,4,1,spotify:track:6rFCSylpc7uX3lGDLVdtP3,0.365
0.126,3OPuEGeKNwmxTfvOQJUh0Y,1v98YOkqO8vCNF8t2xUWiw,0.311,1,265760,0.582,09athuEe5kQfC7bV63jmGa,0.00542,7,0.12,-10.894,0,Apple Green,The Sound of Everything,38,https://p.scdn.co/mp3-preview/e37807c7bcc0f956da288ab5386cf6b51314d5a2?cid=774b29d4f13844c495f206cafdad9c86,0.0651,184.679,4,9,spotify:track:09athuEe5kQfC7bV63jmGa,0.578
0.354,1k3ldWSHD1BwUVHGiFMhyw,1kkpNi8Ii5MhBMxmUhN5g9,0.341,1,178144,0.714,5YgCmkSdGukXqK3fJlX4pQ,0.0,2,0.31,-7.998,0,I Had Too Much to Dream (Last Night),The Sound of Everything,46,https://p.scdn.co/mp3-preview/f60e58a277ff58c4dcffabc41e2b64e79fc78657?cid=774b29d4f13844c495f206cafdad9c86,0.0404,147.604,4,1,spotify:track:5YgCmkSdGukXqK3fJlX4pQ,0.412
0.000488,0y9Iy1zjNgfIMJLyLs1QPI,4eFbq5PZgW7YbtA65PP4wS,0.717,1,318452,0.955,09OONn3fkGVUCPjPTG7Xyp,0.84,11,0.0599,-9.309,1,Nothingness,The Sound of Everything,50,https://p.scdn.co/mp3-preview/8481b548e8af65e8108c38d6ef3f9b65476019fe?cid=774b29d4f13844c495f206cafdad9c86,0.0527,139.995,4,1,spotify:track:09OONn3fkGVUCPjPTG7Xyp,0.651
0.00685,7cCEYw9Tlg5f1hbW0zcCvr,5y8522WHbYqJVt1jSwNSfA,0.663,1,320836,0.755,2haFMwFbUyAWBZB5MaESPC,0.947,10,0.0844,-8.236,0,Acid Phase,The Sound of Everything,37,https://p.scdn.co/mp3-preview/2bb8fe2e2ad9eeef3295d2fef83b5bfad780b5cb?cid=774b29d4f13844c495f206cafdad9c86,0.0595,134.865,4,6,spotify:track:2haFMwFbUyAWBZB5MaESPC,0.208
0.412,74DlhPDpFeu7evkY9xJBlM,6QkYkBjMueh3mAI1uxj9VR,0.709,1,254364,0.669,5FEdj9bQyPnhDn8rSnsTX9,0.809,5,0.136,-12.63,1,La tekno c'est de la musique,The Sound of Everything,43,https://p.scdn.co/mp3-preview/528e098b878097c60798950245a1e245a24ed293?cid=774b29d4f13844c495f206cafdad9c86,0.0835,165.009,4,9,spotify:track:5FEdj9bQyPnhDn8rSnsTX9,0.176
0.774,3WI6GKGrPh768TVUeqsvYC,6b8rrNcSgsJwZEtVroBoLb,0.17,1,460587,0.972,2UtEAqgTa756wA6t417dLv,0.903,3,0.931,-9.938,0,Animé,The Sound of Everything,8,https://p.scdn.co/mp3-preview/343fff69365eae6631e4218f41685423fe189bcc?cid=774b29d4f13844c495f206cafdad9c86,0.156,87.502,3,1,spotify:track:2UtEAqgTa756wA6t417dLv,0.0336
0.456,0X0Z6M1sQQpSRs9UbqpJEo,6EZzVXM2uDRPmnHWq9yPDE,0.596,1,179733,0.545,41s9iG3fTuu32yBnmDLCcZ,5.53e-05,11,0.329,-8.913,0,Mojo Hand,The Sound of Everything,45,https://p.scdn.co/mp3-preview/aba72660deee65a74795b15ff9fbbc0f0b603327?cid=774b29d4f13844c495f206cafdad9c86,0.064,146.953,4,1,spotify:track:41s9iG3fTuu32yBnmDLCcZ,0.718
0.749,3dS1DCljr8LjIweYoUhbgB,2kfmnXYxa9yh0RkUBPjSwZ,0.489,1,198713,0.314,4ptDJbJl35d7gQfeNteBwp,0.0,7,0.113,-9.245,0,Solo,The Sound of Everything,56,https://p.scdn.co/mp3-preview/0d44569d939aa71c8bfe8821948a5bd64f0d581a?cid=774b29d4f13844c495f206cafdad9c86,0.0331,124.234,4,1,spotify:track:4ptDJbJl35d7gQfeNteBwp,0.607
